commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
81835,81833,fix: Add `dirname` sanity check on `findUp`,fix,,False,bug_fixes
82436,82434,chore: explicitly update dependencies,chore,,False,tech_debt
85429,85427,chore: remove extra space added to docs,chore,,False,tech_debt
86215,86213,chore: added a bunch of tests,chore,,False,tech_debt
86829,86827,"fix: show options without descrption in help, hide options with ""hidden"" flag",fix,,False,bug_fixes
90274,90272,Move fix from yargs.js to validation.js,other,,False,other
90838,90836,docs: continuing to noodle,docs,,False,docs
93183,93181,docs: switch to conventional commits badge [ci skip],docs,,False,docs
94436,94434,"Number commands don't work #824

casting argv._ elements back to string when evaluating for commands to
allow non-string commands to be correctly found and matched",other,,False,other
95089,95087,fix: --help with default command should print top-level help,fix,,False,bug_fixes
95387,95385,fix: add test broken strict check,fix,,False,bug_fixes
95416,95414,"chore: add tests, get coverage back up to 100%",chore,,False,tech_debt
95424,95422,fix: switching invalid arguments to warn rather than throw,fix,,False,bug_fixes
97845,97843,fix: Array with camelCase option and hyphenated flag,fix,,False,bug_fixes
98196,98194,"fix: cleanup a few more tests, start working on docs",fix,,False,bug_fixes
100147,100145,fix typo in option example,other,,False,other
100163,100161,feat: split demand() into demandCommand()/demandOption(),feat,,False,feature_work
101738,101736,Use https for image URL at README.md,other,,False,other
104393,104391,add note about temporarily disabling exitProcess,other,,False,other
104930,104928,"Add ""aliases"" and ""did you mean %s?""

Add Spanish translation for ""aliases"" and ""did you mean %s?""",other,,False,other
105682,105680,docs: document command aliases and command execution,docs,,False,docs
105980,105978,fix: added concept of context object based on @scriptdaemon's review,fix,,False,bug_fixes
106006,106004,"fix: nuke the resetForNextParse function, now that we have freeze and unfreeze",fix,,False,bug_fixes
108690,108688,"test: skip tests which require the window size when run without TTY

Skip two tests that would throw an exception when the test output
is redirected to a non-TTY (e.g. `npm test | cat`).",test,,False,tech_debt
108939,108937,docs: added gitter badge,docs,,False,docs
109127,109125,feat: add coerce api,feat,,False,feature_work
111360,111358,test: remove antiquated `populates argv with placeholder keys when passed into command handler` test,test,,False,tech_debt
111469,111467,fix: ignore invalid package.json during read-pkg-up,fix,,False,bug_fixes
113053,113051,"Moved new text about context, add more details",other,,False,other
113184,113182,fix: keep both zh and zh_CN until yargs@5.x,fix,,False,bug_fixes
115349,115347,allow command module to only define command and desc,other,,False,other
115365,115363,docs: document the .commandDir() method,docs,,False,docs
115474,115472,"chore(package): update standard to version 7.0.0

https://greenkeeper.io/",chore,package,False,tech_debt
115936,115934,Use relative reference to Node@5 instead of absolute,other,,False,other
117490,117488,implemented variadic positional arguments,other,,False,other
118355,118353,I'm the worst,other,,False,other
119036,119034,fix usage command tests to use 4.x command api,other,,False,other
119226,119224,make it possible to run a non-sigleton version of yargs,other,,False,other
119491,119489,introduce concept of context for command execution,other,,False,other
120966,120964,bug fixes for commands,other,,False,other
121301,121299,do not reset wrap for commands,other,,False,other
121337,121335,check for module command before adding to usage,other,,False,other
121826,121824,update chanagelog,other,,False,other
122003,122001,update tests to work with yargs-parser@2.1.0,other,,False,other
122541,122539,update changelog. fix merge conflict,other,,False,other
122598,122596,Made help() only assign --help option if called without args,other,,False,other
124731,124729,made some edits based on @lrlna's code review,other,,False,other
125113,125111,Provide default value for version in .version(),other,,False,other
125954,125952,add comment for splitting a string for parsing,other,,False,other
128524,128522,handle edge-cases when setting alias keys,other,,False,other
128658,128656,put JavaScript before output,other,,False,other
131797,131795,Merge branch 'master' into nuke-locale-port,other,,False,other
132975,132973,upgrade y18n to 3.1.0 so splicing lang from locale is unnecessary,other,,False,other
133127,133125,"Update README.md

I added a comment about working in environments where the argv[1] is not the script name (e.g. Electron), to the `.argv` documentation.",other,,False,other
133250,133248,test for boolean config values,other,,False,other
138458,138456,refactor usage tables to use cliui,other,,False,other
138691,138689,"updating codebase to use @feross' standard, for easier contributions. see #144",other,,False,other
138743,138741,"Fix $0 when script path contains 'node' or 'iojs'

If the script path contains 'node' or 'iojs' like '/code/node/script.js'
then argv.$0 will be the empty string because the code skips over any
elements of process.argv that contain these substrings anywhere.",other,,False,other
139828,139826,validation/demand: test standard message,other,,False,other
140941,140939,bump minor version,other,,False,other
141944,141942,finished implementing my wish-list of fetures for yargs 3.0.,other,,False,other
142087,142085,Added test and readme for boolean key default,other,,False,other
