commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
80,78,feat(live): add self-contained production trading pipeline,feat,live,False,feature_work
222,220,Fix MLflow CWD-sensitive workflow paths,other,,False,other
390,388,"fix: DDG-DA workflow - fix unhashable list and InternalData pickle issues

This commit fixes two critical bugs that prevented DDG-DA workflow from running:

1. **Unhashable list type error in InternalData.setup()**
   - Problem: data_key was a list [start_date, end_date], which cannot be used
     as dictionary keys or DataFrame column names
   - Fix: Convert list to tuple to make it hashable (line 99-100)

2. **Incorrect pandas indexing in _calc_perf()**
   - Problem: Used wrong syntax df.loc(axis=0)[:, ""pred""] and group_keys=False
     caused loss of datetime index, leading to droplevel error
   - Fix: Remove group_keys=False and use df.xs(""label"", level=1) to correctly
     select from MultiIndex (line 112-114)

3. **Missing InternalData in pickle whitelist**
   - Problem: InternalData class was not whitelisted, causing UnpicklingError
   - Fix: Add InternalData to SAFE_PICKLE_CLASSES (pickle_utils.py line 91)

Changes:
- qlib/contrib/meta/data_selection/dataset.py:
  * Convert list to tuple for hashable dictionary keys
  * Fix _calc_perf to use correct pandas MultiIndex selection
- qlib/utils/pickle_utils.py:
  * Add InternalData to pickle whitelist

Testing:
✅ DDG-DA workflow now runs successfully to completion
✅ All 154 training tasks complete without errors
✅ Meta-learning data selection works correctly
✅ Final backtest results generated successfully

This is a WORKING VERSION - DDG-DA workflow runs end-to-end!

Related issues:
- Depends on PR #2230 (zscore whitelist)
- Depends on LightGBM 4.0+ compatibility fix

Co-Authored-By: Claude Opus 4.7 <noreply@anthropic.com>",fix,,False,bug_fixes
627,625,Fix incorrect index implementation in FileCalendarStorage,other,,False,other
683,681,fix: lint error,fix,,False,bug_fixes
699,697,ci: enable concurrency to cancel in-progress runs for same workflow and ref,ci,,False,tech_debt
841,839,"fix(model): replace mutable default evals_result=dict() with None in 28 fit() methods

Fixes #2167

All 28 model fit() methods in qlib/contrib/model/ and examples/benchmarks/TRA/
used evals_result=dict() as a default argument. This is a well-known Python
antipattern where the dict is created once at function definition time and
shared across all calls, causing potential state leakage between separate
fit() invocations.

Changed to evals_result=None with an explicit guard, matching the pattern
already used in gbdt.py and highfreq_gdbt_model.py.

Added regression test (tests/test_mutable_default_evals_result.py) that
uses AST parsing to verify no fit() method uses a mutable default for
evals_result and that the None guard is present.",fix,model,False,bug_fixes
1010,1008,"Fix TCN predict crash on single-sample last batch

When the final batch has a single sample, model output becomes a 0-d
numpy array after .cpu().numpy(). np.concatenate cannot mix 0-d and
1-d arrays, causing a crash. Wrap with np.atleast_1d() before
appending to preds list.

Fixes #1752",other,,False,other
1943,1941,Merge branch 'microsoft:main' into ignore-generated-file,other,,False,other
2426,2424,fix(security): restrict pickle deserialization to safe classes,fix,security,False,bug_fixes
2958,2956,fix: lint error in qlib/contrib/model/pytorch_nn.py,fix,,False,bug_fixes
3258,3256,Add timeout to fix pylint error,other,,False,other
3366,3364,Merge branch 'microsoft:main' into explore,other,,False,other
