Week,Direction,Closures,Lower bound,Upper bound,Score,# Events,# Titles,Sample issue titles
2019-04-15,high,5,-0.9,2.1,3.83,5,5,"fix(bump): prefixes like docs, build, etc no longer generate a PATCH | user:2585816 | docs: bump documentation  (+3 more)"
2019-04-22,high,5,-0.2,1.8,6.5,5,4,fix(bump): handle commit and create tag failure | Add support for [skip ci] | user:2828842  (+3 more)
2019-05-20,high,2,1.0,1.0,0.0,2,2,chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0 | chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701 |...
2019-11-04,high,10,1.0,1.0,0.0,10,10,Handle git tag failure | feat(commit): new retry argument to execute previous commit again | Roadmap  (+8 more)
2019-11-11,high,4,1.0,1.0,0.0,4,4,Exception occurs when subject is not provided | user:2585816 | General expection for customize commit  (+2 more)
2019-11-18,high,33,-0.1,2.9,40.17,33,32,Add documentation for gitlab-ci | ci: run tests on pull_requests | 77 GitHub actions  (+30 more)
2019-11-25,high,4,-0.5,3.5,0.5,4,4,docs(check): check documentation | Add support for different commitizens in `cz check` | user:2585816  (+2 more)
2019-12-23,high,5,-0.5,3.5,1.5,5,5,test(github_action): wrong tset | Rename files to version files | Refactor config  (+4 more)
2019-12-30,high,6,-1.6,5.4,0.36,6,6,fix(github_action/pythonpackage): separate run test into 3 steps | Create github template for a commitizen plugin | user:2585816  (+5 more)
2020-04-27,high,11,-4.6,10.4,0.17,11,11,fix(changelog): generate today's date when using an unreleased_version | ci: separate docs from python publishing | Enhance warning  (+10 more)
2020-07-20,high,29,-3.6,11.4,4.7,29,29,[Feature Request] Automatic bump on fix or feature | Add `cz check --rev-range` to the docs | [Documentation] External Links and Articles  (+29 more)
2022-08-08,high,11,-3.1,7.9,1.14,11,11,Support custom types for pre-commit hook | fix: capitalize types in default change_type_order | user:2585816  (+10 more)
2022-08-15,high,11,-3.5,8.5,0.83,11,11,cz bump could not find the latest version tag to do incremental changelog when there is custom tag_format | test(changelog): fix datetime mo...  (+10 more)
2022-09-12,high,13,-3.5,8.5,1.5,13,11,Relax specification for argcomplete dependency | Conditionally relax specification for termcolor dependency | fix(README.md): fix pre-commit...  (+11 more)
2023-02-06,high,9,-3.5,8.5,0.17,9,9,"user:5144808 | docs(docs/contributing.md): udpate steps to contribute, add gpg | use shield.io badge for github workflow  (+9 more)"
2023-04-17,high,21,-3.1,7.9,4.77,21,21,user:5144808 | Release v3 | ci(actions)(deps): bump peaceiris/actions-gh-pages from 2 to 3  (+21 more)
2023-04-24,high,43,-3.1,7.9,12.77,43,43,user:5144808 | Proposal for v3 | --major-version-zero is meaningless for current version 3.0.0  (+46 more)
2023-05-01,high,11,-3.1,7.9,1.14,11,11,test: add test for 'additional' types in conventional commits | user:7586076 | build(poetry)(deps): bump importlib-metadata from 4.13.0 to 6...  (+11 more)
2023-06-19,high,18,-3.1,7.9,3.68,18,18,user:5144808 | build(deps): bump argcomplete from 3.0.8 to 3.1.1 | build(poetry)(deps): bump requests from 2.28.2 to 2.31.0  (+18 more)
2023-12-18,high,18,-3.0,13.0,1.25,18,18,user:5144808 | ci(github): fix codeowners format | build(deps-dev): bump mypy from 1.7.1 to 1.8.0  (+16 more)
2024-05-20,high,33,-7.5,20.5,1.79,33,33,build(deps): bump typing-extensions from 4.11.0 to 4.12.0 | fix(base.py): add encoding when open changlelog_file | conventional keyword in b...  (+32 more)
2025-05-19,high,23,-5.1,13.9,1.92,23,23,ttest test | `pre-commit` fail even if the problem is fixed automatically | feat(cli): add --tag-format argument to changelog command  (+22 more)
2025-05-26,high,33,-5.1,13.9,4.03,33,30,user:34255899 | docs: correct case GitHub | build(termcolor): remove termcolor <3 restriction  (+30 more)
2025-06-02,high,28,-5.5,14.5,2.7,28,28,refactor(git): retype get_commits parameter to make it more friendly to call sites | build(poetry): run poetry update to keep the packages u...  (+27 more)
2025-06-09,high,39,-5.5,14.5,4.9,39,37,refactor(git): remove redundant if branch | refactor(ExpectedExit): make the constructor more compact | refactor(changelog): cleanup and add...  (+36 more)
