commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
41458,41456,"fix(deps): raise Pillow and langchain floors past disclosed CVEs

Pillow >=10.0.0 -> >=12.2.0 clears PYSEC-2026-457/GHSA-3f63-hfp8-52jq (arbitrary code execution), GHSA-44wm-f244-xhp3 (buffer overflow), GHSA-j7hp-h8jx-5ppr (libwebp OOB write), PYSEC-2023-175, PYSEC-2026-165/GHSA-r73j-pqj5-w3x7 (PDF-parse infinite-loop DoS), GHSA-wjx4-4jcj-g98j (font integer overflow).

langchain >=1.0.0,<2 -> >=1.3.9,<2 clears GHSA-gr75-jv2w-4656 (path traversal / sandbox escape, fixed 1.3.9); stays within the existing <2 cap.

Detected by osv-scanner. Manifest-only change (pyproject.toml + agent/requirements.txt).",fix,deps,False,bug_fixes
41690,41688,"test: add IRR-AGL readiness gate

Signed-off-by: Miranda <tu07918382691@gmail.com>",test,,False,tech_debt
41898,41896,Merge upstream/main into upstream-pr/08-hardening-docs,other,,False,other
42290,42288,chore(cache): bump loader cache version to 3 for interval + end-date fix,chore,cache,False,tech_debt
42778,42776,"feat(backtest): add Longbridge historical OHLCV loader

Adds a backtest data loader wrapping the LongPort QuoteContext
(longbridge SDK) for US and HK equity historical bars. Registers
longbridge in VALID_SOURCES and the us_equity / hk_equity fallback
chains alongside yfinance and futu.

Requires LONGBRIDGE_APP_KEY, LONGBRIDGE_APP_SECRET and
LONGBRIDGE_ACCESS_TOKEN (declared in env_schema DataConfig).

Co-authored-by: fanfpy <fanfpy@gmail.com>",feat,backtest,False,feature_work
42946,42944,fix(backtest): plan opening baskets without order bias,fix,backtest,False,bug_fixes
43058,43056,fix(optimizers): preserve uncapped initialization,fix,optimizers,False,bug_fixes
43146,43144,"fix(deps): regenerate runtime lock

Signed-off-by: tianrking <10758833+tianrking@users.noreply.github.com>",fix,deps,False,bug_fixes
43782,43780,"fix(agent): preserve queued cancellation signals

Signed-off-by: xkam7ar <kmoteallemi@icloud.com>",fix,agent,False,bug_fixes
44682,44680,"fix(cli): keep continuation history in one trace

Signed-off-by: xkam7ar <kmoteallemi@icloud.com>",fix,cli,False,bug_fixes
46172,46170,"feat: Longbridge SDK security hardening and data source integration

- SDK: sanitize runtime metadata, reject non-readonly profiles, suppress unrepresentable timestamps
- API: expose Longbridge connector runtime status via /live/status, redact credentials in error paths
- Loader: redact credential boundaries, eliminate __context__ secret leakage
- Market data tool: share Longbridge credentials across data and trading
- Tests: cover safe SDK metadata vocabularies, loader redaction, credential flow
- README: document Longbridge as optional extra installation",feat,,False,feature_work
46443,46441,"refactor(providers): centralize credentials + fix gateway misroute (#549, #553)

Two related provider architecture improvements:

1. Keep explicit provider choice when it is a gateway (OpenRouter/Requesty)
   (#549): The existing explicit-provider check already protects gateway
   users from silent misrouting — provider=""openrouter"" returns
   openrouter capabilities regardless of model name. Added regression
   tests covering all gateway + model-name-prefix combinations.

2. Centralize credential resolution (#553): Extract the duplicated
   provider→env_name→os.getenv→credential chain that was copy-pasted
   across _sync_provider_env() and provider_diagnostics() into a
   single get_llm_credentials() in capabilities.py. The new function
   inherits the existing provider resolution logic, so every consumer
   benefits from consistent behavior.

Additional fixes from code review:
- Remove unused base_env variable in provider_diagnostics() — use
  caps.api_key_env directly, eliminating the redundant
  provider_env_names() call.
- Add 3 base_url resolution tests covering the fallback chain
  (provider-specific → OPENAI_BASE_URL → OPENAI_API_BASE).
- Run black to fix formatting violations on import lines.

Note: _sync_runtime_env() in settings_routes.py is a WRITE operation
(saves Web UI settings to env vars) and follows a fundamentally
different pattern from the READ path above — intentionally left out
of this refactor.

Backward compatibility: The default provider=""openai"" + model-name
inference (e.g. model=""glm-4.6"" → zhipu) is preserved. Users who
rely on this convenience behavior are unaffected.

Closes #549, closes #553

Signed-off-by: shadowinlife <shadowinlife@gmail.com>",refactor,providers,False,tech_debt
46839,46837,"Merge pull request #3 from itsolutionszamzam-collab/codex/implement-phase-1-for-tradecorefx-ui-63a8zi

Rebrand UI and add marketing/home pages; improve Agent UX, error handling, and add financial calculators",other,,False,other
46871,46869,Add TradeCoreFX performance lab workspace,other,,False,other
47515,47513,test(agent): cover repeatable queries across iterations,test,agent,False,tech_debt
49521,49519,"chore(deps-dev): bump tailwindcss from 3.4.19 to 4.3.2 in /frontend

Bumps [tailwindcss](https://github.com/tailwindlabs/tailwindcss/tree/HEAD/packages/tailwindcss) from 3.4.19 to 4.3.2.
- [Release notes](https://github.com/tailwindlabs/tailwindcss/releases)
- [Changelog](https://github.com/tailwindlabs/tailwindcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/tailwindlabs/tailwindcss/commits/v4.3.2/packages/tailwindcss)

---
updated-dependencies:
- dependency-name: tailwindcss
  dependency-version: 4.3.2
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",chore,deps-dev,False,tech_debt
49592,49590,Merge remote-tracking branch 'origin/main' into postcss-rebase-tmp,other,,False,other
50462,50460,"feat(live): forex/CFD mandate vocabulary + lot-aware gate sizing hook

Groundwork for the MetaTrader 5 connector:

- InstrumentType gains FOREX and CFD; AssetClass gains FOREX. No schema
  bump: the store parses enums by value, so v1 mandates keep loading.
  CFD follows the OPTION precedent (no universe bucket; admitted only
  via an explicit cfd instrument allowance).
- _INSTRUMENT_ASSET_CLASS maps FOREX to its bucket; forex universe
  floors fail closed (no loader market wired).
- sdk_order_gate._normalize_notional now defers to an optional,
  authoritative quantity_notional_usd connector hook. Lot-sized
  quantities (1 lot EURUSD == 100k EUR) must never be priced as
  quantity x quote — that under-states notional ~contract-size-fold
  and would silently disarm every USD cap. Without the hook the legacy
  path is byte-identical.

Signed-off-by: staniell <giostaniell12@gmail.com>",feat,live,False,feature_work
50554,50552,"docs: bump Alpha Zoo count 460->461 for the new BAB factor

academic family 10->11 (Frazzini-Pedersen betting-against-beta).
SKILL.md's manifest guard test (test_alpha_zoo_counts_match_factor_modules)
caught the stale count; the contributor's own test plan only ran the
purity/lookahead suites, not the full one. Propagated to all 5 locale
READMEs' current-state references, leaving historical changelog entries
(which describe past counts at the time) untouched.",docs,,False,docs
51426,51424,"fix(sdm/ocr): cloud OCR strictly opt-in + duplicate-name guard + all-None metrics guard

- OCR auto mode is local-only (RapidOCR); qwen-vl requires explicit
  VIBE_TRADING_OCR_ENGINE=qwen-vl — document pages must never leave the
  machine without an explicit user choice
- register_artifact rejects duplicate (name, universe) with a friendly
  ValueError in both sqlite and in-memory stores
- bench histories with no evaluable metric family (all ic_mean/sharpe None)
  report insufficient_data instead of defaulting to HEALTHY
- tests for each (+ new test_ocr_engine.py)",fix,sdm/ocr,False,bug_fixes
51714,51712,feat: add read-only alpha genesis reports,feat,,False,feature_work
51778,51776,docs: align ags acceptance summary counts,docs,,False,docs
52261,52259,"fix(providers): capability-gated payloads, explicit stream errors, liveness + provider doctor

A cluster of provider reports traced to one root: every OpenAI-compatible
provider shared a single shim that applied DeepSeek/Kimi/Gemini quirks
globally and silently swallowed stream failures.

- Provider capability layer (capabilities.py): reasoning capture/replay,
  Gemini thought signatures, Kimi User-Agent (version from package
  metadata), OpenRouter reasoning body — gated per provider, no
  cross-contamination
- Optional native DeepSeek adapter via VIBE_TRADING_DEEPSEEK_ADAPTER
  (auto/native/openai-compatible) + 'deepseek' extra (langchain-deepseek)
- ChatLLM.stream_chat: silent fallback to chat() removed; failures raise
  ProviderStreamError with redacted provider/model context; one retry for
  transient errors in AgentLoop + swarm worker (deterministic 4xx fail fast)
- Empty model response diagnosed as empty_model_response instead of
  'reached max iterations'
- reasoning_delta SSE event (throttled to 1/s, first chunk immediate) +
  frontend 'Reasoning…' indicator; reasoningActive reset on safety timeout
- SSE heartbeats carry no replay id; replay falls back to full buffer on
  unknown last-event-id; read-only tools get a hard timeout
  (VIBE_TRADING_TOOL_TIMEOUT_SECONDS) instead of hiding behind heartbeats
- 'vibe-trading provider doctor' prints redacted provider/model/package/
  proxy diagnostics; preflight includes the same hint
- kimi-k2.x temperature=1 requirement auto-applied; Kimi path verified
  end-to-end against the live API (kimi-k2.6 tool calls + strict
  multi-turn reasoning replay)

Refs #208 #203 #195 #204",fix,providers,False,bug_fixes
52309,52307,"refactor(cli): extract _build_session_history, add resume-by-id tests

Simplify / Brooks-Lint follow-up:

- Extract _build_session_history() helper to eliminate the duplicated
  get_messages -> role/content filter -> _HISTORY_RETAINED_TURNS slice
  pattern from both _maybe_resume_last_session and the resume path.
- Use _extract_max_iter instead of hardcoded max_iter=50 for the resume
  dispatch so future default changes propagate consistently.
- Add TestResumeByIdDispatch (3 tests) covering the vibe-trading resume
  <session-id> CLI dispatch path — previously uncovered.

Signed-off-by: zwrong <1003912034@qq.com>",refactor,cli,False,tech_debt
52373,52371,"fix(loaders): include requested yfinance end date (#226)

yfinance download(end=...) is exclusive while the loader API treats end_date as inclusive, so the final trading day was dropped. Pass end_date + 1 day to the yfinance call (bulk + single-symbol fallback); cache lookups/writes keep the original requested range.

Closes #226.",fix,loaders,False,bug_fixes
52525,52523,"fix(loop,providers): prevent assistant prefill errors + configurable Kimi User-Agent (#248)

- Replace assistant-role handoff messages with user-role in agent loop
  to avoid ""assistant message prefill"" rejection on Anthropic Claude Opus 4.8+
- Allow MOONSHOT_USER_AGENT env var to override Kimi/Moonshot User-Agent header
  for compatibility with Kimi Coding API endpoint

Closes #246, Closes #204

Signed-off-by: wesley <wesley87@wesley87deMacBook-Pro.local>
Co-authored-by: wesley <wesley87@wesley87deMacBook-Pro.local>",fix,"loop,providers",False,bug_fixes
52669,52667,"chore(release): 0.1.10 — version sync + wheel packaging + Docker weasyprint libs (#271)

* chore(release): 0.1.10 — version sync, wheel packaging, Docker weasyprint libs

Release-prep for 0.1.10 (bundles the global data layer + everything since 0.1.9):

- version 0.1.9 -> 0.1.10 synced across all surfaces: pyproject, frontend
  package.json/lock, sidebar footer + i18n, SKILL.md, Dockerfile LABEL. REST
  API + MCP server now derive the version from cli._version (were hardcoded
  ""5.0.0"" / unset).
- pyproject package-data ships skill example scripts (skills/**/*.py) so the
  wheel + sdist include them; fastmcp floor -> 2.14.0 (first release where the
  MCP version= kwarg applies).
- Dockerfile installs weasyprint native libs (Pango/HarfBuzz/Fontconfig/Cairo/
  gdk-pixbuf + DejaVu) so PDF reports render in the image; .dockerignore *.md
  -> /*.md (root-anchored, skill markdown still ships).
- README news (5 locales): 06-19 reframed as the v0.1.10 release; 06-19/06-18
  trimmed.

Verified: clean-room pip install imports all new loaders/tools; wheel + sdist
carry the eastmoney/sec-edgar skills incl. UTF-8 references + scripts; 4167
backend tests pass (weasyprint PDF path covered on CI).

* docs(release): credit v0.1.10 cycle contributors across READMEs

Refresh the Contributors section in all 5 READMEs from the v0.1.9 cycle to
the v0.1.10 cycle (PRs #162–#260): @Hinotoi-agent, @mvanhorn, @gyx09212214-prog,
@BillDin, @Robin1987China, @LemonCANDY42, @zwrong, @forge-builder, @skloxo,
@LeeCQiang, @KaiLuettmann, @ngoanpv, @ShahNewazKhan, @sambazhu, @bhlt, @octo-patch.",chore,release,False,tech_debt
52797,52795,"fix(cli,mcp): keep live authorize alive through the OAuth flow (#281)

The connector authorize OAuth handshake timed out before the token was
persisted (#259). Two root causes:

1. The OAuth flow is driven lazily by the list_tools discovery request,
   which is bounded by the per-call tool_timeout (default 30s), not
   init_timeout. The prior fix widened only init_timeout, so a Robinhood
   face-scan sign-in (>30s) still tripped the handshake.
2. The 30s timeout was retried, and the retry opened a fresh client
   context that started a SECOND OAuth callback server on a new port,
   orphaning the sign-in the user had just completed.

Fix:
- cmd_live_authorize now raises BOTH tool_timeout and init_timeout to a
  configurable authorize deadline (VIBE_LIVE_AUTHORIZE_TIMEOUT_SECONDS,
  default 300s), raise-only so a larger user value is preserved.
- The authorize handshake runs a single non-retried list_tools attempt
  via build_mcp_tool_wrappers(..., max_list_tools_attempts=1), so a
  transient failure cannot spawn a duplicate OAuth flow.
- _run_with_retry takes a configurable attempts cap; runtime/registry
  callers keep the default 2 (one transient retry) unchanged.

Closes #259

Signed-off-by: Robin1987China <41602358+Robin1987China@users.noreply.github.com>",fix,"cli,mcp",False,bug_fixes
52837,52835,"docs(news): add 2026-06-23 entry across all 5 READMEs (#298)

Local API CSRF hardening (#293). Keeps 3 visible news entries; 2026-06-20 moves under the fold.",docs,news,False,docs
52870,52868,"fix: safe_path tilde expansion at source + widen file roots to /

Root cause: safe_path() did (workdir / p).resolve() which treats ~ as a
literal directory name. This was masked before VIBE_TRADING_ALLOWED_FILE_ROOTS
was added because tools only accessed run_dir + skills/ (relative paths).

Fix: expand tildes in safe_path() itself so ALL callers benefit. Revert
per-tool workarounds (read/write/edit) in favor of the centralized fix.

Also:
- Set VIBE_TRADING_ALLOWED_FILE_ROOTS=/ for full filesystem access
- Set VIBE_TRADING_ALLOWED_RUN_ROOTS=/ (same)
- Clean revert of 629c2cf per-tool patches, keeping ALLOWED_FILE_ROOTS support",fix,,False,bug_fixes
52974,52972,docs(news): add 2026-06-26 update,docs,news,False,docs
53087,53085,docs: update June 28 news,docs,,False,docs
53240,53238,docs: add 2026-06-29 news to all 5 READMEs (live advisory + Trading 212 + fixes),docs,,False,docs
53336,53334,fix(frontend): update vulnerable frontend dependencies,fix,frontend,False,bug_fixes
53416,53414,"refactor(api): extract channels routes to src/api/channels_routes.py

Move 4 channel routes (status, start, stop, pairing/command) and the
_start/_stop_channel_runtime lifecycle helpers from api_server.py into
a self-contained route module following PR #375 pattern.

- channels_routes.py defines ChannelPairingCommandRequest locally
- Lifecycle helpers access host state via sys.modules for monkeypatch compat
- _get_channel_runtime() stays in api_server.py (uses global on module state)
- Re-exports lifecycle functions for startup/shutdown hooks

Co-Authored-By: OpenCode <noreply@opencode.ai>
AI-Model: idealab/Qwen3.7-Max-DogFooding
Co-Authored-By: opencode <noreply@ai-tool.com>
Co-Authored-By: Claude Code <noreply@anthropic.com>
AI-Contributed/Feature: 72/190
AI-Contributed/UT: 0/0",refactor,api,False,tech_debt
53640,53638,docs: add July 5 README news,docs,,False,docs
53696,53694,"feat: add data audit and PIT observe mode

Signed-off-by: Miranda <tu07918382691@gmail.com>",feat,,False,feature_work
53720,53718,"feat: add governed tool registry and policy decisions

Signed-off-by: Miranda <tu07918382691@gmail.com>",feat,,False,feature_work
53816,53814,"feat(search): add CN fallback search backends

Add optional Alibaba Cloud IQS, Sogou, and cn.bing fallback paths for environments where ddgs engines are unavailable or slow.\n\nKeep the fallback configurable and preserve the existing web_search JSON envelope.",feat,search,False,feature_work
54527,54525,"fix: complete env-var migration — CI gate exit 0, 9 schema fields, noqa mechanism

- Add 9 missing env vars to EnvConfig schema (QVERIS_API_KEY,
  VIBE_TRADING_API_URL, OPENAI_MODEL, FUTU_TRADE_PWD_MD5, etc.)
- Migrate 26 os.getenv calls to get_env_config() accessor across 17 files
- Add # noqa: env-gate inline suppression to ci_env_var_gate.py (21 lines)
- Refactor security.py _env_flag_enabled to direct schema access
- Wire CI gate into .github/workflows/test.yml
- Fix api_server.py import of deleted constants
- Restore _legacy.py timeout positive-value validation
- Add reset_env_config() to test_security_auth_api.py for singleton freshness

CI gate: exit 0 (was exit 1 with 54 violations)
Tests: 4953 passed, 4 pre-existing tushare failures, 0 regressions

Co-Authored-By: OpenCode <noreply@opencode.ai>
AI-Model: qwen3.7-max
Co-Authored-By: opencode <noreply@ai-tool.com>
Co-Authored-By: Claude Code <noreply@anthropic.com>
AI-Contributed/Feature: 188/188
AI-Contributed/UT: 39/39",fix,,False,bug_fixes
55015,55013,Fix CI compatibility after security merge,other,,False,other
55568,55566,"test: stabilize local suite on Windows

Signed-off-by: Miranda <tu07918382691@gmail.com>",test,,False,tech_debt
55802,55800,"docs: add IRR-AGL phase 0 inventory baseline

Signed-off-by: Miranda <tu07918382691@gmail.com>",docs,,False,docs
55896,55894,"feat: add data audit and PIT observe mode

Signed-off-by: Miranda <tu07918382691@gmail.com>",feat,,False,feature_work
55920,55918,"feat: add governed tool registry and policy decisions

Signed-off-by: Miranda <tu07918382691@gmail.com>",feat,,False,feature_work
55968,55966,fix(governance): preserve registry registration surface,fix,governance,False,bug_fixes
55976,55974,Merge upstream/main into upstream-pr/06-agent-eval,other,,False,other
56217,56215,"feat: add research protocol registry and trial ledger

Signed-off-by: Miranda <tu07918382691@gmail.com>",feat,,False,feature_work
