week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score,event_count,title_count,titles_in_week,event_descriptions,event_ids,object_ids,titles_text
2019-04-15,5,0.25,1.0,0.75,-0.875,2.125,True,high,3.8333333333333335,5,5,"['fix(bump): prefixes like docs, build, etc no longer generate a PATCH', 'docs: bump documentation', 'Fix/16 move breaking change to body', 'Feature/customize bump', 'BREAKING CHANGE should not be in the title']","['closed (#19)', 'closed (#15)', 'closed (#17)', 'closed (#18)', 'closed (#16)']","[116390, 116436, 116509, 116541, 116577]","[116370, 116396, 116442, 116518, 116547]","fix(bump): prefixes like docs, build, etc no longer generate a PATCH
docs: bump documentation
Fix/16 move breaking change to body
Feature/customize bump
BREAKING CHANGE should not be in the title"
2019-04-22,5,0.5,1.0,0.5,-0.25,1.75,True,high,6.5,5,4,"['fix(bump): handle commit and create tag failure', 'Add support for [skip ci]', 'feat(bump): new commit message template', 'Feature/bump yes argument']","['closed (#23)', 'closed (#20)', 'closed (#21)', 'closed (#22)']","[116254, 116292, 116318, 116341, 116364]","[116230, 116260, 116298, 116324]","fix(bump): handle commit and create tag failure
Add support for [skip ci]
feat(bump): new commit message template
Feature/bump yes argument"
2019-05-20,2,1.0,1.0,0.0,1.0,1.0,True,high,0.0,2,2,"['chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0', 'chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701']","['closed (#26)', 'closed (#27)']","[116098, 116134]","[116067, 116104]","chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0
chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701"
2019-11-04,10,1.0,1.0,0.0,1.0,1.0,True,high,0.0,10,10,"['Handle git tag failure', 'feat(commit): new retry argument to execute previous commit again', 'Roadmap', 'Abort if no change', 'Feature/build ci', 'handle commiting when no file change', 'build: new deploy script and updated changelog', 'make style configurable for commit command', 'highlight the current option', 'Retry functionality.']","['closed (#32)', 'closed (#41)', 'closed (#7)', 'closed (#49)', 'closed (#43)', 'closed (#45)', 'closed (#44)', 'closed (#42)', 'closed (#37)', 'closed (#40)']","[115055, 115343, 115369, 115407, 115547, 115587, 115620, 115772, 115930, 116980]","[115003, 115316, 115349, 115375, 115413, 115563, 115593, 115696, 115910, 116935]","Handle git tag failure
feat(commit): new retry argument to execute previous commit again
Roadmap
Abort if no change
Feature/build ci
handle commiting when no file change
build: new deploy script and updated changelog
make style configurable for commit command
highlight the current option
Retry functionality."
2019-11-11,4,1.0,1.0,0.0,1.0,1.0,True,high,0.0,4,4,"['Exception occurs when subject is not provided', 'General expection for customize commit', 'build(poetry): update questionary version to ^1.4', 'Make command required']","['closed (#46)', 'closed (#51)', 'closed (#50)', 'closed (#48)']","[114962, 114997, 115193, 115307]","[114902, 114968, 115081, 115260]","Exception occurs when subject is not provided
General expection for customize commit
build(poetry): update questionary version to ^1.4
Make command required"
2019-11-18,33,1.0,1.75,0.75,-0.125,2.875,True,high,40.166666666666664,33,32,"['Add documentation for gitlab-ci', 'ci: run tests on pull_requests', '77 GitHub actions', 'Easier Customization', 'fix(cz/exceptions): Fix AnswerRequiredException not caught', 'Correct typo to spell ""convention""', 'docs(Tutorial): Tutorial section added. GitLab tutorial added', 'style: previous PR broke style guidelines', 'fix: commit dry-run doesnt require staging to be clean', 'GitHub actions to bump and publish', 'ci: codeconv for github actions', 'ci: new github actions', 'fix(test_cli): testing the version command', 'docs: added github actions to nav', 'Customize committing and bumping through toml file', 'Deprecation warning for config through ini files', 'fix: issue 67: shutil.py:606: PermissionError', 'Enhance customization', ""Fixes #60: Add 'git-cz' entrypoint in user's PATH."", 'Add --dry-run option to command commit', 'How to type multiple lines for body part?', 'feat(Commands/check): enforce the project to always use conventional …', 'correcting style mistake', 'Add documentation for Github Actions', 'Fixes #56: feat(Commands/commit): add ´--dry-run´ flag to the Commit command', 'Investigation on how to run: git cz', 'New command: cz check', 'README typo should be convention', 'pytest failure: shutil.py:606: PermissionError, bump.py:126: SystemExit', 'Travis is not running in PR', 'fix(commands/check.py): make --commit-msg-file a required argument for check command', 'Restrict list of types / scopes']","['closed (#76)', 'closed (#66)', 'closed (#88)', 'closed (#54)', 'closed (#89)', 'closed (#71)', 'closed (#85)', 'closed (#79)', 'closed (#75)', 'closed (#86)', 'closed (#64)', 'closed (#63)', 'closed (#61)', 'closed (#87)', 'closed (#72)', 'closed (#83)', 'closed (#69)', 'closed (#74)', 'closed (#65)', 'closed (#56)', 'closed (#6)', 'closed (#84)', 'closed (#81)', 'closed (#77)', 'closed (#68)', 'closed (#62)', 'closed (#60)', 'closed (#59)', 'closed (#70)', 'closed (#67)', 'closed (#52)', 'closed (#90)', 'closed (#24)']","[113323, 113357, 113391, 113417, 113452, 113487, 113514, 113549, 113638, 113746, 113782, 113797, 113820, 113909, 114030, 114062, 114080, 114146, 114191, 114217, 114247, 114290, 114319, 114366, 114401, 114424, 114451, 114490, 114641, 114780, 114899, 116219, 117027]","[113292, 113329, 113363, 113397, 113420, 113455, 113490, 113521, 113612, 113659, 113767, 113785, 113800, 113826, 113959, 114036, 114065, 114086, 114149, 114194, 114220, 114253, 114293, 114322, 114372, 114407, 114427, 114457, 114626, 114723, 114882, 116178, 116983]","Add documentation for gitlab-ci
ci: run tests on pull_requests
77 GitHub actions
Easier Customization
fix(cz/exceptions): Fix AnswerRequiredException not caught
Correct typo to spell ""convention""
docs(Tutorial): Tutorial section added. GitLab tutorial added
style: previous PR broke style guidelines
fix: commit dry-run doesnt require staging to be clean
GitHub actions to bump and publish
ci: codeconv for github actions
ci: new github actions
fix(test_cli): testing the version command
docs: added github actions to nav
Customize committing and bumping through toml file
Deprecation warning for config through ini files
fix: issue 67: shutil.py:606: PermissionError
Enhance customization
Fixes #60: Add 'git-cz' entrypoint in user's PATH.
Add --dry-run option to command commit
How to type multiple lines for body part?
feat(Commands/check): enforce the project to always use conventional …
correcting style mistake
Add documentation for Github Actions
Fixes #56: feat(Commands/commit): add ´--dry-run´ flag to the Commit command
Investigation on how to run: git cz
New command: cz check
README typo should be convention
pytest failure: shutil.py:606: PermissionError, bump.py:126: SystemExit
Travis is not running in PR
fix(commands/check.py): make --commit-msg-file a required argument for check command
Restrict list of types / scopes"
2019-11-25,4,1.0,2.0,1.0,-0.5,3.5,True,high,0.5,4,4,"['docs(check): check documentation', 'Add support for different commitizens in `cz check`', 'feat(bump): new argument --files-only', '""cz check"" for different cz config']","['closed (#94)', 'closed (#93)', 'closed (#92)', 'closed (#91)']","[113173, 113230, 113264, 113289]","[113149, 113176, 113241, 113274]","docs(check): check documentation
Add support for different commitizens in `cz check`
feat(bump): new argument --files-only
""cz check"" for different cz config"
2019-12-23,5,1.0,2.0,1.0,-0.5,3.5,True,high,1.5,5,5,"['test(github_action): wrong tset', 'Rename files to version files', 'Refactor config', 'docs(customization): add cookiecutter template to doc', 'build(deps-dev): update mypy requirement from ^0.760 to ^0.761']","['closed (#105)', 'closed (#103)', 'closed (#100)', 'closed (#108)', 'closed (#101)']","[112347, 112473, 112599, 112812, 112966]","[112327, 112456, 112568, 112785, 112818]","test(github_action): wrong tset
Rename files to version files
Refactor config
docs(customization): add cookiecutter template to doc
build(deps-dev): update mypy requirement from ^0.760 to ^0.761"
2019-12-30,6,1.0,2.75,1.75,-1.625,5.375,True,high,0.35714285714285715,6,6,"['fix(github_action/pythonpackage): separate run test into 3 steps', 'Create github template for a commitizen plugin', 'New command: cz init', 'Init command', 'fix(scripts/test): ensure the script fails once the first failure happens', 'Show proj version']","['closed (#107)', 'closed (#58)', 'closed (#57)', 'closed (#102)', 'closed (#109)', 'closed (#104)']","[112321, 112420, 112562, 112779, 114512, 114595]","[112286, 112353, 112476, 112605, 114496, 114515]","fix(github_action/pythonpackage): separate run test into 3 steps
Create github template for a commitizen plugin
New command: cz init
Init command
fix(scripts/test): ensure the script fails once the first failure happens
Show proj version"
2020-04-27,11,1.0,4.75,3.75,-4.625,10.375,True,high,0.16666666666666666,11,11,"[""fix(changelog): generate today's date when using an unreleased_version"", 'ci: separate docs from python publishing', 'Enhance warning', 'Command changelog', 'Show warning if no commit to check when running `cz check --rev-range`', 'fix(changelog): sort the commits properly to their version', '[GitHub Action] Separate github page publish from python package publish', 'pre-commit hooks getting failed.', 'Command changelog wip', 'Generate Changelog from commits', 'Update changelog']","['closed (#182)', 'closed (#178)', 'closed (#180)', 'closed (#179)', 'closed (#165)', 'closed (#181)', 'closed (#171)', 'closed (#177)', 'closed (#163)', 'closed (#53)', 'closed (#154)']","[107819, 107855, 107901, 108215, 108258, 108286, 108581, 108836, 109057, 109646, 114879]","[107795, 107825, 107861, 107907, 108224, 108264, 108549, 108818, 108864, 109618, 114783]","fix(changelog): generate today's date when using an unreleased_version
ci: separate docs from python publishing
Enhance warning
Command changelog
Show warning if no commit to check when running `cz check --rev-range`
fix(changelog): sort the commits properly to their version
[GitHub Action] Separate github page publish from python package publish
pre-commit hooks getting failed.
Command changelog wip
Generate Changelog from commits
Update changelog"
2020-07-20,29,2.0,5.75,3.75,-3.625,11.375,True,high,4.7,29,29,"['[Feature Request] Automatic bump on fix or feature', 'Add `cz check --rev-range` to the docs', '[Documentation] External Links and Articles', '[Feature Request] Limit any commit line to 100 characters', '[Feature Request] Support for PEP 621', 'commitzen modifies the output from pre-commit and makes it hard to see', 'Rename ""files"" in configuration', 'fix: add missing `pyyaml` dependency', 'commitzen is not fully compatible with the latest conventional commit', '[Feature Request] Check with CI that all commits use proper format', 'Fix/return code catch', '[Bug Report] Commitizen returns a failing exit code on success.', 'Add tutorial on how to check commit format through `cz check --rev-range`', 'Feat/faq', 'Runtime dependency on setuptools', 'Next', 'Discussion: deprecate configParser', 'feat: add author and author_email to git commit', 'Use pypi api token instead of account/password', 'Exception when command is not given', 'feat(conventional_commits): use and proper support for conventional c…', 'Fix/test bump and refactor changelog', 'Add author to GitCommit', 'fix(bump): add changelog file into stage when running `cz bump --changelog', '[Bug Report] Changelog is not added to the bump commit', 'Add git hook through `cz init`', '2.0.0 breaking changes', 'Setup pre-commit hook in ""cz init""', 'Pre-commit hook requires username and password to intialize']","['closed (#223)', 'closed (#233)', 'closed (#208)', 'closed (#224)', 'closed (#212)', 'closed (#197)', 'closed (#82)', 'closed (#238)', 'closed (#199)', 'closed (#227)', 'closed (#229)', 'closed (#222)', 'closed (#176)', 'closed (#226)', 'closed (#215)', 'closed (#237)', 'closed (#55)', 'closed (#234)', 'closed (#161)', 'closed (#47)', 'closed (#235)', 'closed (#231)', 'closed (#188)', 'closed (#228)', 'closed (#221)', 'closed (#113)', 'closed (#230)', 'closed (#236)', 'closed (#232)']","[104451, 104545, 104600, 104642, 104684, 104718, 104740, 104784, 104863, 104927, 104966, 104985, 105085, 105197, 105217, 105247, 105317, 105744, 105873, 106064, 106752, 106846, 107383, 108320, 109153, 112164, 113606, 114717, 115254]","[104427, 104457, 104551, 104609, 104648, 104690, 104724, 104743, 104790, 104878, 104933, 104972, 105005, 105184, 105200, 105220, 105260, 105674, 105825, 106036, 106683, 106802, 107356, 108301, 109097, 112136, 113555, 114647, 115199]","[Feature Request] Automatic bump on fix or feature
Add `cz check --rev-range` to the docs
[Documentation] External Links and Articles
[Feature Request] Limit any commit line to 100 characters
[Feature Request] Support for PEP 621
commitzen modifies the output from pre-commit and makes it hard to see
Rename ""files"" in configuration
fix: add missing `pyyaml` dependency
commitzen is not fully compatible with the latest conventional commit
[Feature Request] Check with CI that all commits use proper format
Fix/return code catch
[Bug Report] Commitizen returns a failing exit code on success.
Add tutorial on how to check commit format through `cz check --rev-range`
Feat/faq
Runtime dependency on setuptools
Next
Discussion: deprecate configParser
feat: add author and author_email to git commit
Use pypi api token instead of account/password
Exception when command is not given
feat(conventional_commits): use and proper support for conventional c…
Fix/test bump and refactor changelog
Add author to GitCommit
fix(bump): add changelog file into stage when running `cz bump --changelog
[Bug Report] Changelog is not added to the bump commit
Add git hook through `cz init`
2.0.0 breaking changes
Setup pre-commit hook in ""cz init""
Pre-commit hook requires username and password to intialize"
2022-08-08,11,1.0,3.75,2.75,-3.125,7.875,True,high,1.1363636363636365,11,11,"['Support custom types for pre-commit hook', 'fix: capitalize types in default change_type_order', 'test(commands): stores gpg keyring in a temporary directory', '`UnicodeDecodeError` if commit messages contain Unicode characters', 'CZ not bumping patch release', 'cz bump results in UnicodeEncodeError', 'fix(cmd): improve character encoding detection for sub-commands', 'chore: improve package classifiers', 'option to specify newline types', 'feat: determine newline to write with Git', 'Update supported Python classifiers']","['closed (#503)', 'closed (#403)', 'closed (#547)', 'closed (#544)', 'closed (#521)', 'closed (#500)', 'closed (#552)', 'closed (#553)', 'closed (#492)', 'closed (#493)', 'closed (#548)']","[86208, 86291, 86516, 86610, 86916, 88095, 89163, 89336, 89846, 89907, 95122]","[86184, 86215, 86491, 86519, 86763, 88059, 89104, 89315, 89754, 89849, 94966]","Support custom types for pre-commit hook
fix: capitalize types in default change_type_order
test(commands): stores gpg keyring in a temporary directory
`UnicodeDecodeError` if commit messages contain Unicode characters
CZ not bumping patch release
cz bump results in UnicodeEncodeError
fix(cmd): improve character encoding detection for sub-commands
chore: improve package classifiers
option to specify newline types
feat: determine newline to write with Git
Update supported Python classifiers"
2022-08-15,11,1.0,4.0,3.0,-3.5,8.5,True,high,0.8333333333333334,11,11,"['cz bump could not find the latest version tag to do incremental changelog when there is custom tag_format', 'test(changelog): fix datetime mocking error', 'cz c error while cz init with cz_commitizen_emoji option', 'failed to check signed commit for user uses different language', 'Pre-commit suggestions use mutable references, not supported', '`cz changelog` is not reporting git errors (`git.py` missing `cmd.return_code` checks)', 'feat(pre-commit): Add commitizen-branch hook', 'Enforce 72 character limit on commit msg header', 'docs: improve setup instructions for pre-commit', 'Changelog change type sections are ordered ""incorrectly""', 'git.get_commits error check']","['closed (#561)', 'closed (#563)', 'closed (#556)', 'closed (#542)', 'closed (#560)', 'closed (#518)', 'closed (#517)', 'closed (#559)', 'closed (#564)', 'closed (#402)', 'closed (#540)']","[85675, 85702, 85734, 85788, 85816, 86043, 87053, 87231, 88230, 88305, 95157]","[85627, 85678, 85708, 85759, 85795, 86022, 87035, 87092, 88188, 88233, 95131]","cz bump could not find the latest version tag to do incremental changelog when there is custom tag_format
test(changelog): fix datetime mocking error
cz c error while cz init with cz_commitizen_emoji option
failed to check signed commit for user uses different language
Pre-commit suggestions use mutable references, not supported
`cz changelog` is not reporting git errors (`git.py` missing `cmd.return_code` checks)
feat(pre-commit): Add commitizen-branch hook
Enforce 72 character limit on commit msg header
docs: improve setup instructions for pre-commit
Changelog change type sections are ordered ""incorrectly""
git.get_commits error check"
2022-09-12,13,1.0,4.0,3.0,-3.5,8.5,True,high,1.5,13,11,"['Relax specification for argcomplete dependency', 'Conditionally relax specification for termcolor dependency', 'fix(README.md): fix pre-commit install command', '`test_bump_pre_commit_changelog` is failing on `master` (afa0d93) for some environments', 'fix(bump): log git commit stderr and stdout during bump', 'Make empty commit', 'ci(scripts): add commitizen check to CI', 'Bump: support manual version', 'Ensure subject char is lowercase', 'fix(bump.py): `CHANGELOG.md` gets git added and commited correctly', 'feat: add functionality for dev-releases']","['closed (#589)', 'closed (#588)', 'closed (#586)', 'closed (#583)', 'closed (#520)', 'closed (#571)', 'closed (#590)', 'closed (#585)', 'closed (#587)', 'closed (#591)', 'closed (#584)', 'closed (#581)', 'closed (#582)']","[84309, 84360, 84422, 84456, 84547, 84578, 84622, 84668, 84699, 84758, 84815, 85269, 88181]","[84260, 84344, 84389, 84441, 84480, 84563, 84581, 84628, 84671, 84712, 84764, 85228, 88110]","Relax specification for argcomplete dependency
Conditionally relax specification for termcolor dependency
fix(README.md): fix pre-commit install command
`test_bump_pre_commit_changelog` is failing on `master` (afa0d93) for some environments
fix(bump): log git commit stderr and stdout during bump
Make empty commit
ci(scripts): add commitizen check to CI
Bump: support manual version
Ensure subject char is lowercase
fix(bump.py): `CHANGELOG.md` gets git added and commited correctly
feat: add functionality for dev-releases"
2023-02-06,9,1.0,4.0,3.0,-3.5,8.5,True,high,0.16666666666666666,9,9,"['docs(docs/contributing.md): udpate steps to contribute, add gpg', 'use shield.io badge for github workflow', 'Feature: version providers', 'feat(bump): support prereleases with a start offset', 'Add ability to run arbitrary hooks pre/post version bump', 'docs: use shield.io badge for github workflow', 'chore: add github funding', 'feat(bump): added support for running arbitrary hooks during bump', 'commitizen produces empty commit message after answering prompts']","['closed (#667)', 'closed (#663)', 'closed (#646)', 'closed (#614)', 'closed (#292)', 'closed (#664)', 'closed (#668)', 'closed (#644)', 'closed (#666)']","[77709, 77756, 77780, 77895, 77919, 78983, 79806, 82834, 100859]","[77685, 77715, 77759, 77840, 77898, 78738, 79593, 82678, 100768]","docs(docs/contributing.md): udpate steps to contribute, add gpg
use shield.io badge for github workflow
Feature: version providers
feat(bump): support prereleases with a start offset
Add ability to run arbitrary hooks pre/post version bump
docs: use shield.io badge for github workflow
chore: add github funding
feat(bump): added support for running arbitrary hooks during bump
commitizen produces empty commit message after answering prompts"
