week_start,value,is_anomaly,anomaly_direction,anomaly_score,lower_bound,upper_bound,title_count,event_count,severity,component,reasoning,extraction_method,confidence,event_descriptions,titles_in_week
2019-04-15,5,True,high,3.8333333333333335,-0.875,2.125,5,5,P4,documentation,"Weekly closures show a well beyond-typical spike (5 vs upper bound 2), covering 5 unique titles across 5 events, focused on documentation, version & bump, with recurring terms like bump, fix, docs, breaking, flagged by P2/P3 signal words.",rule_based,0.736904761904762,"['closed (#19)', 'closed (#15)', 'closed (#17)', 'closed (#18)', 'closed (#16)']","['fix(bump): prefixes like docs, build, etc no longer generate a PATCH', 'docs: bump documentation', 'Fix/16 move breaking change to body', 'Feature/customize bump', 'BREAKING CHANGE should not be in the title']"
2019-04-22,5,True,high,6.5,-0.25,1.75,4,5,P4,version & bump,"Weekly closures show a well beyond-typical spike (5 vs upper bound 2), covering 4 unique titles across 5 events, focused on version & bump, build & ci, with recurring terms like bump, commit, fix, handle, flagged by P1/P2 signal words.",rule_based,0.6889285714285714,"['closed (#23)', 'closed (#20)', 'closed (#21)', 'closed (#22)']","['fix(bump): handle commit and create tag failure', 'Add support for [skip ci]', 'feat(bump): new commit message template', 'Feature/bump yes argument']"
2019-05-20,2,True,high,0.0,1.0,1.0,2,2,P3,dependencies,"Weekly closures show a near-typical spike (2 vs upper bound 1), covering 2 unique titles across 2 events, focused on dependencies, with recurring terms like chore, deps-dev, requirement, black, flagged by P3/P4 signal words.",rule_based,0.7725,"['closed (#26)', 'closed (#27)']","['chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0', 'chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701']"
2019-11-04,10,True,high,0.0,1.0,1.0,10,10,P3,build & ci,"Weekly closures show a near-typical spike (10 vs upper bound 1), covering 10 unique titles across 10 events, focused on build & ci, cli interface, with recurring terms like commit, handle, new, retry, flagged by P1/P3 signal words.",rule_based,0.6641666666666667,"['closed (#32)', 'closed (#41)', 'closed (#7)', 'closed (#49)', 'closed (#43)', 'closed (#45)', 'closed (#44)', 'closed (#42)', 'closed (#37)', 'closed (#40)']","['Handle git tag failure', 'feat(commit): new retry argument to execute previous commit again', 'Roadmap', 'Abort if no change', 'Feature/build ci', 'handle commiting when no file change', 'build: new deploy script and updated changelog', 'make style configurable for commit command', 'highlight the current option', 'Retry functionality.']"
2019-11-11,4,True,high,0.0,1.0,1.0,4,4,P2,build & ci,"Weekly closures show a near-typical spike (4 vs upper bound 1), covering 4 unique titles across 4 events, focused on build & ci, dependencies, with recurring terms like exception, occurs, subject, not, flagged by P2/P3 signal words.",rule_based,0.5504166666666667,"['closed (#46)', 'closed (#51)', 'closed (#50)', 'closed (#48)']","['Exception occurs when subject is not provided', 'General expection for customize commit', 'build(poetry): update questionary version to ^1.4', 'Make command required']"
2019-11-18,33,True,high,40.166666666666664,-0.125,2.875,32,33,P3,build & ci,"Weekly closures show a well beyond-typical spike (33 vs upper bound 3), covering 32 unique titles across 33 events, focused on build & ci, documentation, with recurring terms like github, actions, fix, command, flagged by P1/P2 signal words.",rule_based,0.5733964646464647,"['closed (#76)', 'closed (#66)', 'closed (#88)', 'closed (#54)', 'closed (#89)', 'closed (#71)', 'closed (#85)', 'closed (#79)', 'closed (#75)', 'closed (#86)', 'closed (#64)', 'closed (#63)', 'closed (#61)', 'closed (#87)', 'closed (#72)', 'closed (#83)', 'closed (#69)', 'closed (#74)', 'closed (#65)', 'closed (#56)', 'closed (#6)', 'closed (#84)', 'closed (#81)', 'closed (#77)', 'closed (#68)', 'closed (#62)', 'closed (#60)', 'closed (#59)', 'closed (#70)', 'closed (#67)', 'closed (#52)', 'closed (#90)', 'closed (#24)']","['Add documentation for gitlab-ci', 'ci: run tests on pull_requests', '77 GitHub actions', 'Easier Customization', 'fix(cz/exceptions): Fix AnswerRequiredException not caught', 'Correct typo to spell ""convention""', 'docs(Tutorial): Tutorial section added. GitLab tutorial added', 'style: previous PR broke style guidelines', 'fix: commit dry-run doesnt require staging to be clean', 'GitHub actions to bump and publish', 'ci: codeconv for github actions', 'ci: new github actions', 'fix(test_cli): testing the version command', 'docs: added github actions to nav', 'Customize committing and bumping through toml file', 'Deprecation warning for config through ini files', 'fix: issue 67: shutil.py:606: PermissionError', 'Enhance customization', ""Fixes #60: Add 'git-cz' entrypoint in user's PATH."", 'Add --dry-run option to command commit', 'How to type multiple lines for body part?', 'feat(Commands/check): enforce the project to always use conventional …', 'correcting style mistake', 'Add documentation for Github Actions', 'Fixes #56: feat(Commands/commit): add ´--dry-run´ flag to the Commit command', 'Investigation on how to run: git cz', 'New command: cz check', 'README typo should be convention', 'pytest failure: shutil.py:606: PermissionError, bump.py:126: SystemExit', 'Travis is not running in PR', 'fix(commands/check.py): make --commit-msg-file a required argument for check command', 'Restrict list of types / scopes']"
2019-11-25,4,True,high,0.5,-0.5,3.5,4,4,P4,documentation,"Weekly closures show a slightly beyond-typical spike (4 vs upper bound 4), covering 4 unique titles across 4 events, focused on documentation, version & bump, with recurring terms like check, different, docs, documentation, flagged by P4 signal words.",rule_based,0.883,"['closed (#94)', 'closed (#93)', 'closed (#92)', 'closed (#91)']","['docs(check): check documentation', 'Add support for different commitizens in `cz check`', 'feat(bump): new argument --files-only', '""cz check"" for different cz config']"
2019-12-23,5,True,high,1.5,-0.5,3.5,5,5,P4,documentation,"Weekly closures show a clearly beyond-typical spike (5 vs upper bound 4), covering 5 unique titles across 5 events, focused on documentation, dependencies, with recurring terms like files, test, github_action, wrong, flagged by P3/P4 signal words.",rule_based,0.6533333333333333,"['closed (#105)', 'closed (#103)', 'closed (#100)', 'closed (#108)', 'closed (#101)']","['test(github_action): wrong tset', 'Rename files to version files', 'Refactor config', 'docs(customization): add cookiecutter template to doc', 'build(deps-dev): update mypy requirement from ^0.760 to ^0.761']"
2019-12-30,6,True,high,0.35714285714285715,-1.625,5.375,6,6,P1,testing,"Weekly closures show a near-typical spike (6 vs upper bound 5), covering 6 unique titles across 6 events, focused on testing, version & bump, with recurring terms like fix, test, command, github_action, flagged by P1/P2 signal words.",rule_based,0.5775,"['closed (#107)', 'closed (#58)', 'closed (#57)', 'closed (#102)', 'closed (#109)', 'closed (#104)']","['fix(github_action/pythonpackage): separate run test into 3 steps', 'Create github template for a commitizen plugin', 'New command: cz init', 'Init command', 'fix(scripts/test): ensure the script fails once the first failure happens', 'Show proj version']"
2020-04-27,11,True,high,0.16666666666666666,-4.625,10.375,11,11,P4,documentation,"Weekly closures show a near-typical spike (11 vs upper bound 10), covering 11 unique titles across 11 events, focused on documentation, build & ci, with recurring terms like changelog, fix, generate, separate, flagged by P1/P2 signal words.",rule_based,0.7150000000000001,"['closed (#182)', 'closed (#178)', 'closed (#180)', 'closed (#179)', 'closed (#165)', 'closed (#181)', 'closed (#171)', 'closed (#177)', 'closed (#163)', 'closed (#53)', 'closed (#154)']","[""fix(changelog): generate today's date when using an unreleased_version"", 'ci: separate docs from python publishing', 'Enhance warning', 'Command changelog', 'Show warning if no commit to check when running `cz check --rev-range`', 'fix(changelog): sort the commits properly to their version', '[GitHub Action] Separate github page publish from python package publish', 'pre-commit hooks getting failed.', 'Command changelog wip', 'Generate Changelog from commits', 'Update changelog']"
