commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
980,978,"build(deps-dev): bump fast-uri from 3.1.3 to 3.1.4

Bumps [fast-uri](https://github.com/fastify/fast-uri) from 3.1.3 to 3.1.4.
- [Release notes](https://github.com/fastify/fast-uri/releases)
- [Commits](https://github.com/fastify/fast-uri/compare/v3.1.3...v3.1.4)

---
updated-dependencies:
- dependency-name: fast-uri
  dependency-version: 3.1.4
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
2498,2496,"test(e2e): migrate from raw use of dockerode to use testcontainers instead

which uses dockerode internally. this is a follow up to
https://github.com/semantic-release/semantic-release/pull/4220 to simplify teardown and avoid
managing the complexity as directly",test,e2e,False,tech_debt
3250,3248,chore(deps): update dependency prettier to v3.8.4,chore,deps,False,tech_debt
3326,3324,refactor: remove obsolete release type constants and notes separator,refactor,,False,tech_debt
3358,3356,fix(code-quality): add missing comma in context object for consistency,fix,code-quality,False,bug_fixes
5722,5720,"build(deps-dev): bump protobufjs from 7.5.4 to 7.5.5

Bumps [protobufjs](https://github.com/protobufjs/protobuf.js) from 7.5.4 to 7.5.5.
- [Release notes](https://github.com/protobufjs/protobuf.js/releases)
- [Changelog](https://github.com/protobufjs/protobuf.js/blob/master/CHANGELOG.md)
- [Commits](https://github.com/protobufjs/protobuf.js/compare/protobufjs-v7.5.4...protobufjs-v7.5.5)

---
updated-dependencies:
- dependency-name: protobufjs
  dependency-version: 7.5.5
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
5972,5970,chore(deps): update dependency sinon to v21.1.1,chore,deps,False,tech_debt
7618,7616,chore(deps): update dependency ava to v7,chore,deps,False,tech_debt
7651,7649,ci(action): update github/codeql-action action to v4.32.5,ci,action,False,tech_debt
7800,7798,chore(deps): update dependency @types/node to v24.10.14,chore,deps,False,tech_debt
8404,8402,chore(deps): update dependency @types/node to v24.10.10,chore,deps,False,tech_debt
8852,8850,chore(deps): update dependency tempy to v3.1.2,chore,deps,False,tech_debt
9051,9049,chore(deps): update npm to v11.8.0,chore,deps,False,tech_debt
9171,9169,chore(deps): update dependency tempy to v3.1.1,chore,deps,False,tech_debt
9211,9209,ci(action): update github/codeql-action action to v4.31.11,ci,action,False,tech_debt
10097,10095,"docs: Remove 3rd party apps section from GitHub Actions docs

Removed section about using 3rd party apps for GitHub Actions. Neither of these links actually brought you to a working project. First one looks like maybe GitHub acquired them/integrated it and the second one says it's archived.",docs,,False,docs
11062,11060,chore(deps): update dependency prettier to v3.7.1,chore,deps,False,tech_debt
11445,11443,ci(action): update github/codeql-action action to v4.31.4,ci,action,False,tech_debt
12597,12595,chore(deps): update dependency got to v14.6.2,chore,deps,False,tech_debt
13093,13091,ci(action): update github/codeql-action action to v4.31.0,ci,action,False,tech_debt
13235,13233,Merge branch 'master' into docs/plugins-semantic-release-github-commit,other,,False,other
13474,13472,chore(deps): lock file maintenance,chore,deps,False,tech_debt
13912,13910,"Revert ""fix(deps): temporarily force semantic-release v25 across plugin peer requirements""

This reverts commit c60a6c286900843734b55f365e652be1ba9c9267.",other,,False,other
13928,13926,Merge branch 'beta' of github.com:semantic-release/semantic-release into alpha,other,,False,other
14297,14295,fix(deps): updated to the stable version of the commit-analyzer plugin,fix,deps,False,bug_fixes
