week_start,value,is_anomaly,anomaly_direction,anomaly_score,lower_bound,upper_bound,title_count,event_count,severity,component,reasoning,extraction_method,confidence,event_descriptions,titles_in_week
2021-10-04,18,True,high,4.6,-3.5,6.5,17,18,P1,logging & telemetry,"Weekly closures show a well beyond-typical spike (18 vs upper bound 6), covering 17 unique titles across 18 events, focused on logging & telemetry, with recurring terms like data, stock, tensorboard, carlogrisetti, flagged by P1/P2 signal words.",rule_based,0.7725,"['closed (#248)', 'closed (#295)', 'closed (#301)', 'closed (#300)', 'closed (#255)', 'closed (#298)', 'closed (#297)', 'closed (#243)', 'closed (#307)', 'closed (#305)', 'closed (#306)', 'closed (#275)', 'closed (#231)', 'closed (#191)', 'closed (#262)', 'closed (#308)', 'closed (#296)', 'closed (#254)']","['add 2 stock from index LQ45', 'Change from trading_calenders to exchange_calendars', 'Update models.py', 'Using Yfinance Module in-built feature to download multiple ticker faster', 'Add reward to tensorboard output logs', 'Delete DDPG_Hyperparameter_tuning using Optuna .ipynb', 'Carlogrisetti master', 'buy and sell stock trades information and plot', 'Ming joinquant data2', 'Data normalization', 'Ming joinquant data', 'Downloading Binance data within a date range', ""ImportError: cannot import name 'QUAL_PALETTES'"", 'bugfix: make the backtest compatible with user specific data (eg: futures market)', 'make full use of pandas', 'Carlogrisetti tensorboard logging', 'Fix FutureWarning on pandas dataframe drop']"
2021-10-11,8,True,high,0.6,-3.5,6.5,8,8,P2,runtime stability,"Weekly closures show a slightly beyond-typical spike (8 vs upper bound 6), covering 8 unique titles across 8 events, focused on runtime stability, with recurring terms like index, out, range, data, flagged by P2 signal words.",rule_based,0.95,"['closed (#310)', 'closed (#180)', 'closed (#312)', 'closed (#316)', 'closed (#299)', 'closed (#309)', 'closed (#290)', 'closed (#251)']","[""ModuleNotFoundError: No module named 'eRL'"", 'Fixing issue #167', 'Add multi-process in env_stocktrading', 'Update models.py to include seed values', 'In DRLAgent.DRL_Prediction(): IndexError: List Index Out of Range', 'joinquant data', 'Index out of range error when trading after training', 'will raise a error when no data']"
2021-11-22,8,True,high,0.045454545454545456,-3.125,7.875,7,8,P1,unknown area,"Weekly closures show a near-typical spike (8 vs upper bound 8), covering 7 unique titles across 8 events, focused on unknown area, with recurring terms like reivse, ticker, algos, failed, flagged by P1 signal words.",rule_based,0.95,"['closed (#361)', 'closed (#370)', 'closed (#358)', 'closed (#371)', 'closed (#368)', 'closed (#364)', 'closed (#363)']","['Algos failed to extract future information.', 'Reivse ticker names', 'tusharedownloader.py', 'Reivse ticker names2', 'Update data_processor.py', 'make ray init optional', 'deprecate trading_calendars']"
2022-01-03,47,True,high,9.7,-4.375,10.625,45,47,P1,dependencies,"Weekly closures show a well beyond-typical spike (47 vs upper bound 11), covering 45 unique titles across 47 events, focused on dependencies, runtime stability, with recurring terms like about, finrl, ipynb, install, flagged by P1/P2 signal words.",rule_based,0.636,"['closed (#356)', 'closed (#396)', 'closed (#373)', 'closed (#354)', 'closed (#350)', 'closed (#236)', 'closed (#415)', 'closed (#402)', 'closed (#385)', 'closed (#225)', 'closed (#189)', 'closed (#110)', 'closed (#391)', 'closed (#223)', 'closed (#419)', 'closed (#393)', 'closed (#341)', 'closed (#271)', 'closed (#292)', 'closed (#273)', 'closed (#378)', 'closed (#359)', 'closed (#276)', 'closed (#133)', 'closed (#376)', 'closed (#269)', 'closed (#222)', 'closed (#270)', 'closed (#185)', 'closed (#161)', 'closed (#408)', 'closed (#380)', 'closed (#346)', 'closed (#411)', 'closed (#362)', 'closed (#365)', 'closed (#327)', 'closed (#398)', 'closed (#369)', 'closed (#339)', 'closed (#335)', 'closed (#303)', 'closed (#355)', 'closed (#353)', 'closed (#317)', 'closed (#294)']","['ccxt install problem', 'array size mismatch error when trying out FinRL_Compare_ElegantRL_RLlib_Stablebaseline3', 'Are these results before and after hyperparameter optimization acceptable?', 'tusharedownloader.py', 'Switching off turbulence/vix', 'how about forex trading?', 'Requirement stockstats >=0.4.0', 'beginner stock trading notebook not accessable', 'issue in FinRL_PaperTrading_Demo.ipynb', 'error in FinRL_ensemble_stock_trading_ICAIF_2020.ipynb', ""Look-ahead bias in FeatureEngineer: fillna(mode='bfill')"", 'Env for options market?', ""ModuleNotFoundError: No module named 'finrl.neo_finrl.env_stock_trading'"", 'rule-based policies', 'Install and Setup Tutorial for Beginners breaks (Windows 10)', 'why for linux', 'Unable to replicate FinRL_Explainable_DRL_for_Portfolio_Management_An_Empirical_Approach.ipynb', 'What does the day column in the portfolio allocation notebook stand for?', 'fundemental data', ""pip install No module named 'finrl.neo_finrl.env_stock_trading'"", 'env_multiple_crypto.py mistake in step function', 'Making FinRL use GPU', '“Clone this repository”', 'Library not compatible with Python 3.9', 'question about choose tickers', 'how to ouput trading plan', 'ValueError: cannot copy sequence with size 292 to array axis with dimension 301', ""It's my first time to use FinRL"", 'docker installation failed', 'stable_baselines3 issue: cannot copy sequence with size 292 to array axis with dimension 301', ""No module named 'elegantrl.agents' when using finrl.train"", 'Market Liquidity', 'actions on ElegantRL', 'Different prediction on same state in Stablebaseline3', ""Can't reproduce the result in FinRL_Compare_ElegantRL_RLlib_Stablebaseline3.ipynb"", 'Questions about preprocessing', 'json.errors.JSONDecodeError: Expecting value: line 1 column 1', 'Issue with StockTradingEnvStopLoss', 'questions about data', 'about yahoofinance', 'FeatureEngineer.preprocess_data got nan on cci_xx, rsi_xx and dx_xx', 'ERROR: Could not find a version that satisfies the requirement pyfolio (unavailable)', 'How can we treat NAN values?', ""there's a future function at neo_finrl/env_stock_trading/env_stocktrading_cashpenalty.py"", 'Intraday Cashpenalty/Stoploss training.']"
2022-01-24,51,True,high,13.833333333333334,-2.5,9.5,51,51,P1,documentation,"Weekly closures show a well beyond-typical spike (51 vs upper bound 10), covering 51 unique titles across 51 events, focused on documentation, runtime stability, with recurring terms like finrl, ipynb, run, elegantrl, flagged by P1/P2 signal words.",rule_based,0.6225,"['closed (#334)', 'closed (#166)', 'closed (#347)', 'closed (#237)', 'closed (#249)', 'closed (#144)', 'closed (#260)', 'closed (#449)', 'closed (#441)', 'closed (#410)', 'closed (#169)', 'closed (#114)', 'closed (#331)', 'closed (#143)', 'closed (#4)', 'closed (#439)', 'closed (#374)', 'closed (#448)', 'closed (#197)', 'closed (#177)', 'closed (#442)', 'closed (#407)', 'closed (#405)', 'closed (#330)', 'closed (#311)', 'closed (#259)', 'closed (#446)', 'closed (#288)', 'closed (#261)', 'closed (#444)', 'closed (#427)', 'closed (#421)', 'closed (#340)', 'closed (#220)', 'closed (#155)', 'closed (#438)', 'closed (#268)', 'closed (#202)', 'closed (#440)', 'closed (#401)', 'closed (#381)', 'closed (#366)', 'closed (#230)', 'closed (#325)', 'closed (#188)', 'closed (#447)', 'closed (#443)', 'closed (#328)', 'closed (#379)', 'closed (#199)', 'closed (#167)']","['[Suggestion] Replacement of pyfolio with quantstats', 'want to mlpLstmPolicy and EpsGreedyQPolicy，how to add it with elegant', ""ImportError: cannot import name 'AgentA2C' from 'elegantrl.agent'"", 'FinRL_portfolio_allocation_NeurIPS_2020.ipynb onIndia Stocks', 'please add a short position, and possibly a stop loss', 'What is the StockPortfolioEnv in the initialization of the env?', ""'NaTType' object has no attribute 'ordinal'"", 'trx_plot and actions print example', 'Error in Paper Trading DEMO importing packages from elegant RL', ""Can't find token for Jupyter"", 'Might need to explicitly form DataFrame instead of Series to avoid KeyError: True', 'Issue in FinRL_single_stock_trading.ipynb', 'Data cleaning error', 'Prediction returning result for t-1 time step', 'Is a log for training visualization implemented?', '关于 FinRL中 drl_agents/elegantrl/models.py 建立 DRLAgent 类的疑问', 'Here are two earlier gym trading projects.', 'FinRL_PaperTrading_Demo HTTPError on colab notebook', 'Notebook not working', ""cannot import name 'BackTestStats' from 'finrl.trade.backtest'"", 'issues/441 : fix importing error from ElegantRL -> Argument Class', 'FinRL_Explainable_DRL_for_Portfolio_Management_An_Empirical_Approach.ipynb', 'Colab Notebook Link Broken For ElegantRL Demo: Stock Trading Using DDPG (Part II)', ""requests.exceptions.ConnectionError: HTTPSConnectionPool(host='query1.finance.yahoo.com', port=443)"", 'eval_env in the cash penalty example & some general questions', 'Comparison between different models', 'Refactor2', 'Cannot Run the SingleStock Tutorial !!!', 'Fixed buy/sell cost option for Environment', 'Refactor', 'FinRL_Explainable_DRL_For_Portfolio_Management_An_Empirical_Approach.ipynb', 'Demo_MultiCrypto_Trading.ipynb breaks in Colab', ""[portfolio allocation] Model doesn't seem to really make use of cov_list"", 'Move Softmax calculation to tested utility function', 'Question: FinRL_portfolio_allocation_NeurIPS_Training', 'sharpe ratio', ""AI4Finance-LLC / FinRL on pycharm Run Test.py No module named 'finrl.config'"", 'State Technical Indicators', 'Variable hyperparameter results!', 'Failed to run the sample code', 'Add type hints for FinRL', 'Turbulence index vs VIX', 'Consistency of saved model and original model', 'Cash penalty & Scaling on the state', 'Is price data stationarized before feeding it to the models?', '""The kernel has died..."" during Ray tune.run', 'turbulence_threshold in models.py', 'FinRL_PaperTradingDemo for Single Ticker', ""Why can't display date as x-axis when using the backtest_plot() function?"", 'rolling windows', 'Unable to run this_works_1_18 notebook with fresh / clean finrl installation']"
2022-02-21,42,True,high,8.166666666666666,-3.625,11.375,41,42,P2,runtime stability,"Weekly closures show a well beyond-typical spike (42 vs upper bound 11), covering 41 unique titles across 42 events, focused on runtime stability, git integration, with recurring terms like not, ipynb, error, data, flagged by P1/P2 signal words.",rule_based,0.7725,"['closed (#473)', 'closed (#349)', 'closed (#348)', 'closed (#461)', 'closed (#192)', 'closed (#109)', 'closed (#250)', 'closed (#249)', 'closed (#462)', 'closed (#360)', 'closed (#483)', 'closed (#450)', 'closed (#291)', 'closed (#459)', 'closed (#458)', 'closed (#482)', 'closed (#196)', 'closed (#474)', 'closed (#217)', 'closed (#488)', 'closed (#452)', 'closed (#424)', 'closed (#345)', 'closed (#469)', 'closed (#480)', 'closed (#156)', 'closed (#484)', 'closed (#455)', 'closed (#431)', 'closed (#420)', 'closed (#382)', 'closed (#206)', 'closed (#486)', 'closed (#485)', 'closed (#453)', 'closed (#475)', 'closed (#471)', 'closed (#468)', 'closed (#479)', 'closed (#470)', 'closed (#451)']","[""module 'stable_baselines3.common.logger' has no attribute 'record'"", 'FinRL_Ensemble_StockTrading_ICAIF_2020.ipynb vs ICAIF 2020 paper', 'FinRL_StockTrading_Fundamental.ipynb OverflowError: Python int too large to convert to C long', 'Adding Fund Indicator to FinRL_PortfolioAllocation_NeurIPS_2020', 'Colab - ValueError: The parameter loc has invalid values', ""KeyError: '2009-05-18' --- Missing Data Causes error"", 'Trade envs interface should be same?', 'please add a short position, and possibly a stop loss', 'Issue in FinRL_StockTrading_Fundamental.ipynb', 'reward function in env_btc_cctx', 'fixing divided by zero error in .std() in get_validation_sharpe', ""FinRL_PaperTrading_Demo - cannot import name 'init_agent' from 'elegantrl.run' when importing train from finrl.train"", 'The model is not learning properly', 'Error: element 0 of tensors does not require grad and does not have a grad_fn', 'Is the Sharp Ratio function optimizable for any data?', 'The FinRL_single_stock_trading.ipynb can not be found', 'Enhancement - Add short positions with perhaps margin tunable parameters', 'Git clone !pip install git+https://github.com/AI4Finance-LLC/FinRL-Library.git', 'Why would end_total_assets ends with negtive value?', 'All notebooks included stablebaseline3 imports has error!', 'Having a look at trades of ensemble strategy and of trades of individual agents of the ensemble strategy', 'High-level code to use GPU in notebook?', 'Short sales', 'Pyfolio Tear Sheet in PyCharm', 'how to start logging  Tensorboars in FinRL_PortfolioAllocation_NeurIPS_2020.', 'en_cash_penalty', 'Add Colab link in notebook', 'Question abont ""FinRL_PortfolioAllocation_NeurIPS_2020""', 'FinRL_Ensemble_StockTrading_ICAIF_2020 Error with DAX Data', 'FinRL_PaperTrading_Demo.ipynb breaks on Ubuntu on Windows', 'Missing psycopg on platform', 'main.py - Could not broadcast input array from shape', 'Great vision for this repo, but too many bugs for now, none of those demo ipython notebook runs without bugs on my computer', 'Inference results', 'Deterministic = True returns NaN trades', ""RayTune example throws TypeError: 'int' object is not callable"", 'Trade vs Train Env', 'RayActorError in FinRL_PaperTrading_Demo when using AlpacaPaperTrading', 'if the stock data is pure random, can i get a loss near zero in train?', 'Confusion regarding which tutorial is up to date.', 'Using VIX instead of the turbulence index in the FinRL_Ensemble_StockTrading_ICAIF_2020 model as risk indicator']"
2022-03-07,20,True,high,2.0,-4.0,12.0,19,20,P2,runtime stability,"Weekly closures show a clearly beyond-typical spike (20 vs upper bound 12), covering 19 unique titles across 20 events, focused on runtime stability, documentation, with recurring terms like revise, error, finrl, multiple, flagged by P1/P2 signal words.",rule_based,0.8115,"['closed (#428)', 'closed (#513)', 'closed (#203)', 'closed (#112)', 'closed (#504)', 'closed (#496)', 'closed (#476)', 'closed (#181)', 'closed (#493)', 'closed (#515)', 'closed (#267)', 'closed (#495)', 'closed (#416)', 'closed (#505)', 'closed (#418)', 'closed (#509)', 'closed (#499)', 'closed (#516)', 'closed (#227)']","['Wiki Leaderboard', 'Revise config3', 'Preprocess FeatureEngineer class error', 'Error in FinRL for Quantitative Finance  for multiple stocks, Missing parameters in DRLAgent.DRL_prediction, which are test_data and test_obs', 'Now, ""tutorials""  is perfect!', ""Can't reproduce portfolio allocation code"", 'why is the ent_coef  so big', 'got multiple values for argument error', 'eval_times的问题', 'Revise config4', 'Permission denied when start a new notebook', '""initial_amount"" in Finrl.finrl.finrl_meta.env_stock_trading.env_stocktrading.py commented out', '[Code maintenance] Core team', 'Fixed imports from elegantrl module', 'How to implement the ensembleAgent in paper trading?', 'A little question about the example file ""FinRL_StockTrading_NeurIPS_2018""', 'How to deal with dynamic stock pool over time', 'Revise arch', 'changing port mapping from 8887:8888 to 8888:8888']"
2022-07-04,33,True,high,2.230769230769231,-7.5,18.5,32,33,P3,configuration,"Weekly closures show a clearly beyond-typical spike (33 vs upper bound 18), covering 32 unique titles across 33 events, focused on configuration, testing, with recurring terms like portfolio, pre-commit, import, finrl, flagged by P1/P2 signal words.",rule_based,0.597,"['closed (#660)', 'closed (#658)', 'closed (#579)', 'closed (#556)', 'closed (#665)', 'closed (#664)', 'closed (#663)', 'closed (#657)', 'closed (#653)', 'closed (#628)', 'closed (#621)', 'closed (#667)', 'closed (#652)', 'closed (#649)', 'closed (#569)', 'closed (#581)', 'closed (#514)', 'closed (#595)', 'closed (#55)', 'closed (#578)', 'closed (#666)', 'closed (#618)', 'closed (#605)', 'closed (#668)', 'closed (#617)', 'closed (#659)', 'closed (#647)', 'closed (#593)', 'closed (#669)', 'closed (#661)', 'closed (#654)', 'closed (#567)']","['ran `SKIP=flake8 pre-commit run --all-files` three times', 'add_turbulence() crashes if span of data is less than 252', 'Outdated pyfolio crashes the tutorials', 'DRLEnsembleAgent init missing num_stock_shares aggument', 'Scheduled GitHub Actions fail', 'bugfix: Missing import related configuration', 'added pre-commit.ci badge to README.md', 'Add_test_cases', 'Update env_stocktrading.py', 'try to optimize preprocessing data with Vectorbt', ""Make finrl.test() 's output directly usable with portfolio analysis tool"", 'Import Error when running ""python main.py --mode=train"" command', 'add config private', ""ImportError: cannot import name 'config' from 'finrl.config'"", 'Using the BitcoinEnv class from env_btc_ccxt.py', ""no module named 'finrl_ meta. data_ processors. processor_ tusharepro"", ""TypeError: 'module' object is not callable in Demo_MultiCrypto_Trading.ipynb"", 'Paper replication questions - portfolio allocation', 'Model 4 Sac is not being trained correctly', 'Why do we use technical indicators as input to RL training?', 'Fix test', 'hmax for portfolio allocation vs stock trading', 'tutorials1-FinRL_PortfolioAllocation_NeurIPS_2020 can\'t train, it outputs ""nan""', 'updated test.yml to correct issue', 'Stock trading vs Portfolio Allocation', 'Fix feature engineer', 'AttributeError on stablebaselines3.model.py - DRL_prediction_load_from_file', 'Custom Policy Network', 'Revise dir', '[pre-commit.ci demonstration] DONT MERGE THIS', 'tutorial is broken: failing to install FinRL (on Windows)', 'Usage for intraday trading 2']"
2022-11-28,12,True,high,0.25,-5.0,11.0,12,12,P2,dependencies,"Weekly closures show a near-typical spike (12 vs upper bound 11), covering 12 unique titles across 12 events, focused on dependencies, build & ci, with recurring terms like pre-commit, install, autoupdate, disconnect, flagged by P2/P3 signal words.",rule_based,0.8115,"['closed (#783)', 'closed (#780)', 'closed (#797)', 'closed (#781)', 'closed (#795)', 'closed (#794)', 'closed (#771)', 'closed (#792)', 'closed (#790)', 'closed (#796)', 'closed (#791)', 'closed (#779)']","['[pre-commit.ci] pre-commit autoupdate', ""Disconnect between stablebaseline's DRL_prediction() and terminal state"", 'pd.append() to pd.concat(), turbulence date field to timestamp', ""Consolidate and standardize environments into a stable form across FinRL's ecosystem"", 'Revise setup', 'Remove large commented out area Class Config', 'How to download data from SSE_50 and CSI_300?', 'Install swig for wheel building', 'MH-Bug-Fixes', 'Change to environment pip install', 'MH new bug fixes', 'Added poetry files']"
2022-12-19,16,True,high,0.5,-6.5,13.5,16,16,P2,dependencies,"Weekly closures show a slightly beyond-typical spike (16 vs upper bound 14), covering 16 unique titles across 16 events, focused on dependencies, configuration, with recurring terms like yahoo, sliding, window, out, flagged by P2/P3 signal words.",rule_based,0.6100000000000001,"['closed (#831)', 'closed (#274)', 'closed (#825)', 'closed (#836)', 'closed (#837)', 'closed (#824)', 'closed (#804)', 'closed (#832)', 'closed (#770)', 'closed (#833)', 'closed (#808)', 'closed (#827)', 'closed (#834)', 'closed (#838)', 'closed (#829)', 'closed (#839)']","['Error in DataProcessor when using yahoo finance', 'Athe-kunal pull request', 'Add Sliding Window', 'change to requirements', 'Comment out printing StockUniverse', 'Revise paper', ""start received with timezone defined as 'UTC' although a Date must be timezone naive"", 'Fix hstack issue   issue 770', 'Array dimensions do not match in FinRL_PaperTrading_Demo.ipynb: processor_alpaca.py: df_to_array()', 'Fix Alpaca typo and include broker parameters', 'Update pyproject.toml', 'Sliding date window v2', 'commented out null trades', 'Refactor yahoo', 'Renaming', 'refactor yahoo,']"
