week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score,commit_event_count,message_count,messages_in_week,commit_event_descriptions,commit_event_ids,commit_object_ids,messages_text
2014-06-09,5,0.0,1.25,1.25,-1.875,3.125,True,high,1.5,4,4,"['Change optimist to yargs in examples', 'Document second argument of usage(message, opts)', 'Fix a couple of bad interactions between aliases and defaults\n\n- Alias + boolean + default is broken (#7)\n- Default values and options with dashes not working (#20)', 'Changed optimist to yargs in usage-options.js example']","['committed (#23)', 'committed (#19)', 'committed (#21)']","[145294, 145302, 145365, 145485]","[145296, 145304, 145367, 145487]","Change optimist to yargs in examples
Document second argument of usage(message, opts)
Fix a couple of bad interactions between aliases and defaults

- Alias + boolean + default is broken (#7)
- Default values and options with dashes not working (#20)
Changed optimist to yargs in usage-options.js example"
2014-07-28,6,0.0,2.0,2.0,-3.0,5.0,True,high,0.5,5,5,"[""Added 'require' and 'required' as synonyms for 'demand'"", ""Merge remote-tracking branch 'chevex/master' into demand-option"", 'Allow boolean flag with .demand()', ""Remove unneeded dependency\n\nThe dependency on 'minimist' is not used anywhere in the code (we bundle\nour own version)."", 'Replaced short with alias in example. Resolves #28']","['committed (#29)', 'committed (#33)']","[144876, 145026, 145042, 145050, 145058]","[144878, 145028, 145044, 145052, 145060]","Added 'require' and 'required' as synonyms for 'demand'
Merge remote-tracking branch 'chevex/master' into demand-option
Allow boolean flag with .demand()
Remove unneeded dependency

The dependency on 'minimist' is not used anywhere in the code (we bundle
our own version).
Replaced short with alias in example. Resolves #28"
2014-08-25,6,0.25,2.0,1.75,-2.375,4.625,True,high,0.7857142857142857,5,5,"['Auto-detect columns to wrap usage text\n\nThis commit adds support for `.wrap()` without the number of columns\nspecified using the `window-size` package to auto-detect the terminal\nwidth:\n\nhttps://github.com/jonschlinkert/window-size', ""Track aliases added by the parsing code, and don't display them in help\n\nFixes #41 and closes #42."", 'Added contributors section to package.json', 'Add failing test for camelCase, usage, and default options', 'version output will not print extra newline']","['committed (#45)', 'committed (#43)', 'committed (#38)', 'committed (#49)']","[143792, 144255, 144381, 144389, 144707]","[143794, 144257, 144383, 144391, 144709]","Auto-detect columns to wrap usage text

This commit adds support for `.wrap()` without the number of columns
specified using the `window-size` package to auto-detect the terminal
width:

https://github.com/jonschlinkert/window-size
Track aliases added by the parsing code, and don't display them in help

Fixes #41 and closes #42.
Added contributors section to package.json
Add failing test for camelCase, usage, and default options
version output will not print extra newline"
2015-02-02,25,0.0,2.0,2.0,-3.0,5.0,True,high,10.0,22,19,"['Added test and readme for boolean key default', ""Merge remote-tracking branch 'upstream/master'\n\n* upstream/master:\n  fix for #71\n  better handle hints about argument type\n  fix for #51\n  default should be obj not array, see #51\n  changes/fixes to how arguments from JSON config files are handled.\n  updated tests based on @mathroc's amazing testing script, fixed bug.\n  additional changes to how config.json is loaded, based on discussion in #12.\n  change load order of values from config file, see #12\n  flags explicitly set as strings, will now default to '' if they have no right-hand-value see #68.\n  fixes https://github.com/chevex/yargs/issues/71\n  revert automatic whitespace fixes in index.js\n  fixed bug with boolean parsing, when bools separated by = see #66\n  Mention .option in README"", ""document using .string('_') for string ids. see #56"", ""rebased @ashi009's changes with refactored master."", ""flags explicitly set as strings, will now default to '' if they have no right-hand-value see #68."", 'change load order of values from config file, see #12', 'default should be obj not array, see #51', 'remove mocha.opts.', 'Mention .option in README', 'added coverage badge', 'make sure coverage command is working.', 'fixes https://github.com/chevex/yargs/issues/71', 'Allow explicit `default: undefined` for flags\n\nit’s possible to know if the user not set certain flags, after set\n`default: undefined` for that field.', 'switch to using path.relative() see #77', 'clarify opt parameters', 'additional changes to how config.json is loaded, based on discussion in #12.', 'coverage command is working :thumbsup:.', ""updated tests based on @mathroc's amazing testing script, fixed bug."", ""in-prep for further refactoring, and a 3.x release I've shuffled some things around and gotten test-coverage to 100%.""]","['committed (#87)', 'committed (#70)', 'committed (#84)', 'committed (#73)', 'committed (#75)', 'committed (#80)', 'committed (#74)', 'committed (#82)', 'committed (#57)', 'committed (#85)', 'committed (#72)', 'committed (#86)', 'committed (#79)']","[142077, 142085, 142093, 142144, 142181, 142199, 142215, 142223, 142252, 142296, 142310, 142377, 142406, 142427, 142691, 142723, 142752, 142784, 142856, 142885, 142893, 143445]","[142079, 142087, 142095, 142146, 142183, 142201, 142217, 142225, 142254, 142298, 142312, 142379, 142408, 142429, 142693, 142725, 142754, 142786, 142858, 142887, 142895, 143447]","Added test and readme for boolean key default
Merge remote-tracking branch 'upstream/master'

* upstream/master:
  fix for #71
  better handle hints about argument type
  fix for #51
  default should be obj not array, see #51
  changes/fixes to how arguments from JSON config files are handled.
  updated tests based on @mathroc's amazing testing script, fixed bug.
  additional changes to how config.json is loaded, based on discussion in #12.
  change load order of values from config file, see #12
  flags explicitly set as strings, will now default to '' if they have no right-hand-value see #68.
  fixes https://github.com/chevex/yargs/issues/71
  revert automatic whitespace fixes in index.js
  fixed bug with boolean parsing, when bools separated by = see #66
  Mention .option in README
document using .string('_') for string ids. see #56
rebased @ashi009's changes with refactored master.
flags explicitly set as strings, will now default to '' if they have no right-hand-value see #68.
change load order of values from config file, see #12
default should be obj not array, see #51
remove mocha.opts.
Mention .option in README
added coverage badge
make sure coverage command is working.
fixes https://github.com/chevex/yargs/issues/71
Allow explicit `default: undefined` for flags

it’s possible to know if the user not set certain flags, after set
`default: undefined` for that field.
switch to using path.relative() see #77
clarify opt parameters
additional changes to how config.json is loaded, based on discussion in #12.
coverage command is working :thumbsup:.
updated tests based on @mathroc's amazing testing script, fixed bug.
in-prep for further refactoring, and a 3.x release I've shuffled some things around and gotten test-coverage to 100%."
2015-02-09,7,0.0,2.0,2.0,-3.0,5.0,True,high,1.0,11,11,"['finished implementing my wish-list of fetures for yargs 3.0.', 'Auto-detect columns to wrap usage text\n\nThis commit adds support for `.wrap()` without the number of columns\nspecified using the `window-size` package to auto-detect the terminal\nwidth:\n\nhttps://github.com/jonschlinkert/window-size', 'document epilog shorthand of epilogue.', 'refactor two-column table layout so that we can use it for examples and usage', 'detect console width and perform word-wrapping.', 'major refactor of index.js, in prep for 3.x release.', 'removed process.stdout.write, isolated console output into usage.js', 'fix dot-notation logic, surrounding flag variables', 'changed check funtionality slightly see #76', 'fix coverage.', 'aliases were not being populated for dot-notation.']","['committed (#88)', 'committed (#45)', 'committed (#91)', 'committed (#90)']","[141791, 141829, 141882, 141900, 141908, 141926, 141934, 141942, 141953, 142048, 144255]","[141793, 141831, 141884, 141902, 141910, 141928, 141936, 141944, 141955, 142050, 144257]","finished implementing my wish-list of fetures for yargs 3.0.
Auto-detect columns to wrap usage text

This commit adds support for `.wrap()` without the number of columns
specified using the `window-size` package to auto-detect the terminal
width:

https://github.com/jonschlinkert/window-size
document epilog shorthand of epilogue.
refactor two-column table layout so that we can use it for examples and usage
detect console width and perform word-wrapping.
major refactor of index.js, in prep for 3.x release.
removed process.stdout.write, isolated console output into usage.js
fix dot-notation logic, surrounding flag variables
changed check funtionality slightly see #76
fix coverage.
aliases were not being populated for dot-notation."
2015-02-16,12,0.0,2.75,2.75,-4.125,6.875,True,high,1.8636363636363635,10,10,"['various fixes for handling of alias values see #97', 'fix usage message for function() defaults, see #60', 'update github URL', 'Tweak NPM version badge\n\nConsistent visual style with the other badges, different color though.', 'fix my english.', 'allow a description to be provided for a default value.', 'wrap the left-hand-column if it gets too long see #89', 'slight code-style nit', 'updated the badges', 'version now accepts a function']","['committed (#99)', 'committed (#95)', 'committed (#93)', 'committed (#96)', 'committed (#98)', 'committed (#94)']","[141237, 141269, 141277, 141346, 141393, 141452, 141460, 141553, 141586, 141594]","[141239, 141271, 141279, 141348, 141395, 141454, 141462, 141555, 141588, 141596]","various fixes for handling of alias values see #97
fix usage message for function() defaults, see #60
update github URL
Tweak NPM version badge

Consistent visual style with the other badges, different color though.
fix my english.
allow a description to be provided for a default value.
wrap the left-hand-column if it gets too long see #89
slight code-style nit
updated the badges
version now accepts a function"
2015-02-23,13,0.0,3.0,3.0,-4.5,7.5,True,high,1.8333333333333333,13,13,"['bump minor version', 'fix: count should not consume the next argument', 'how could I have missed the epilog\\!', 'fix for camel-case alias bug', 'actually make test do what I claimed it did.', 'slight README tweak.', 'replace $0 in epilog', 'slight tweak to README to show more complete example.', 'retire string see #106', 'implemented nargs features, which helps to solve several ambiguity problems', 'updating README with v3.0 API', 'improve reset() command so that it can be used for nested CLIs', 'fixed typo in README.md']","['committed (#105)', 'committed (#109)', 'committed (#104)', 'committed (#107)', 'committed (#108)', 'committed (#102)']","[140682, 140731, 140796, 140931, 140939, 140947, 140958, 140966, 140974, 141012, 141020, 141085, 141093]","[140684, 140733, 140798, 140933, 140941, 140949, 140960, 140968, 140976, 141014, 141022, 141087, 141095]","bump minor version
fix: count should not consume the next argument
how could I have missed the epilog\!
fix for camel-case alias bug
actually make test do what I claimed it did.
slight README tweak.
replace $0 in epilog
slight tweak to README to show more complete example.
retire string see #106
implemented nargs features, which helps to solve several ambiguity problems
updating README with v3.0 API
improve reset() command so that it can be used for nested CLIs
fixed typo in README.md"
2016-02-08,21,2.0,7.0,5.0,-5.5,14.5,True,high,1.3,53,48,"['update changelog. fix merge conflict', 'Made help() only assign --help option if called without args', 'implemented the concept of global options', ""loop over argv._ for unknown arguments as per @maxrimue's code review"", 'update chanagelog', 'skeleton test for valid command validation', 'Pass the original error as the second argument of fail() handler.', 'update changelog', 'chore(package): update standard to version 6.0.5\n\nhttp://greenkeeper.io/', 'Provide default value for version in .version()', 'split out parser into yargs-parser library, and make yargs configurable see #352', 'switch to new approach for loading top-level configuration', 'starting to refactor commands to the new API', 'rm unnecessary commandKeys check', 'document our fancy new command API', 'fix cherry-picked conflict in index.js', 'add number to options to documentation', 'introduces the pkgConf feature', 'allow an alternative cwd to be specified', 'add a standard badge, because standard rocks', 'a command can now simply be a module', 'add commandKeys validation to unknownArguments', 'add new number integration from yargs-parser PR #7', 'starting to build out command parser', ""check if 'max' arg in demand is an array"", 'fix closing brace, duhhhh', 'leave command handlers as an object', 'add number to options to documentation\n\n(cherry picked from commit 93e9d104e0982e5625062dad368a78fc4b261a92)', 'upgrade standard, fix nit', 'starting to work on improvements to commands', 'you can now pass an object rather than a builder function, it uses a sane default for usage', 'test usage with both .demand() + .require()', ""add validation tests for '.demand(1, ['a', 'b'])'"", 'add note about the global short-hand', 'fix a couple more typos in README', 'provide a bit more documentation about command modules', 'add test for aliase + number usage', 'merge with 4.x', 'update readme with examples', ""test usage with no cmds, and all required args as per @bcoe's review"", 'update tests to work with yargs-parser@2.1.0', 'Simplified help() code, tuned help() tests, added docs', 'completion is a command not an option, we should reset it', 'we now support positional arguments \\o/', 'add test for aliase + number usage\n\n(cherry picked from commit 0dc6a460f0ab85aab39c612fe9690ad8da364447)', 'add tests around guessing version # based on parent package.json', 'remove yargs stanza from package.json', 'fix weird typo in README.md']","['committed (#377)', 'committed (#376)', 'committed (#368)', 'committed (#357)', 'committed (#382)', 'committed (#378)', 'committed (#375)', 'committed (#384)', 'committed (#381)', 'committed (#380)', 'committed (#374)', 'committed (#379)']","[122157, 122165, 122173, 122181, 122293, 122344, 122352, 122360, 122430, 122438, 122446, 122470, 122494, 122502, 122510, 122539, 122547, 122555, 122596, 122634, 122663, 122686, 123044, 123052, 123060, 123068, 123076, 123084, 123092, 123103, 123111, 123119, 123133, 123141, 123152, 123160, 123168, 123176, 123193, 123201, 123218, 123244, 123739, 123747, 123755, 123774, 123785, 123823, 123831, 123839, 123858, 123886, 123904]","[122159, 122167, 122175, 122183, 122295, 122346, 122354, 122362, 122432, 122440, 122448, 122472, 122496, 122504, 122512, 122541, 122549, 122557, 122598, 122636, 122665, 122688, 123046, 123054, 123062, 123070, 123078, 123086, 123094, 123105, 123113, 123121, 123135, 123143, 123154, 123162, 123170, 123178, 123195, 123203, 123220, 123246, 123741, 123749, 123757, 123776, 123787, 123825, 123833, 123841, 123860, 123888, 123906]","update changelog. fix merge conflict
Made help() only assign --help option if called without args
implemented the concept of global options
loop over argv._ for unknown arguments as per @maxrimue's code review
update chanagelog
skeleton test for valid command validation
Pass the original error as the second argument of fail() handler.
update changelog
chore(package): update standard to version 6.0.5

http://greenkeeper.io/
Provide default value for version in .version()
split out parser into yargs-parser library, and make yargs configurable see #352
switch to new approach for loading top-level configuration
starting to refactor commands to the new API
rm unnecessary commandKeys check
document our fancy new command API
fix cherry-picked conflict in index.js
add number to options to documentation
introduces the pkgConf feature
allow an alternative cwd to be specified
add a standard badge, because standard rocks
a command can now simply be a module
add commandKeys validation to unknownArguments
add new number integration from yargs-parser PR #7
starting to build out command parser
check if 'max' arg in demand is an array
fix closing brace, duhhhh
leave command handlers as an object
add number to options to documentation

(cherry picked from commit 93e9d104e0982e5625062dad368a78fc4b261a92)
upgrade standard, fix nit
starting to work on improvements to commands
you can now pass an object rather than a builder function, it uses a sane default for usage
test usage with both .demand() + .require()
add validation tests for '.demand(1, ['a', 'b'])'
add note about the global short-hand
fix a couple more typos in README
provide a bit more documentation about command modules
add test for aliase + number usage
merge with 4.x
update readme with examples
test usage with no cmds, and all required args as per @bcoe's review
update tests to work with yargs-parser@2.1.0
Simplified help() code, tuned help() tests, added docs
completion is a command not an option, we should reset it
we now support positional arguments \o/
add test for aliase + number usage

(cherry picked from commit 0dc6a460f0ab85aab39c612fe9690ad8da364447)
add tests around guessing version # based on parent package.json
remove yargs stanza from package.json
fix weird typo in README.md"
2016-02-15,17,2.25,7.0,4.75,-4.875,14.125,True,high,0.6052631578947368,78,70,"['do not reset wrap for commands', 'check for module command before adding to usage', 'update chanagelog', 'update tests to work with yargs-parser@2.1.0', 'implemented the concept of global options', 'update readme with examples', 'Merge pull request #385 from bcoe/update-changelog\n\nupdate 4.x changelog', 'edits based on code review', 'get tests back up to 100%. add little known normalize() feature to docs', 'a command can now simply be a module', 'whoops, had a config stanza left in from testing', 'switch to using require-main-filename', 'you can now pass an object rather than a builder function, it uses a sane default for usage', 'fix a couple more typos in README', 'fix cherry-picked conflict in index.js', 'Merge pull request #382 from gajus/stack-trace-v4\n\nPass the original error as the second argument of fail() handler. (fixes #373)', 'you can now specify an option shorthand for numbers', 'split out parser into yargs-parser library, and make yargs configurable see #352', 'provide a bit more documentation about command modules', 'Merge pull request #368 from bcoe/command-improvements\n\nworking on a new API for commands that creates less redundant code', 'allow an alternative cwd to be specified', 'Merge pull request #384 from lrlna/add-number-type-opts\n\nadd number type opts', 'update 4.x changelog', 'yargs 4.0.0 \\o/ see changelog and blog post', ""loop over argv._ for unknown arguments as per @maxrimue's code review"", 'starting to build out command parser', 'we now support positional arguments \\o/', 'add commandKeys validation to unknownArguments', ""check if 'max' arg in demand is an array"", 'Fix .version() API inconsistency', 'Made help() only assign --help option if called without args', ""lookup package.version as default version # (see @maxrimue's work in #337)"", 'add number to options to documentation\n\n(cherry picked from commit 93e9d104e0982e5625062dad368a78fc4b261a92)', 'fix standard nit', 'update the 4.x changelog', 'we now load the yargs stanza only in yargs', 'starting to refactor commands to the new API', 'merge with 4.x', ""test usage with no cmds, and all required args as per @bcoe's review"", 'skeleton test for valid command validation', 'fix closing brace, duhhhh', 'Merge pull request #377 from bcoe/update-changelog\n\nkeep 4.x changelog up-to-date, fixed merge conflict', 'introduces the pkgConf feature', 'preserve groups containing global keys when resetting', 'use implicit usage string when not set by command builder function', 'leave command handlers as an object', 'add tests around guessing version # based on parent package.json', 'remove yargs stanza from package.json', 'Merge pull request #357 from lrlna/require-valid-command\n\nrequire valid command', 'Merge pull request #378 from bcoe/pkg-conf\n\nintroduces pkgConf feature', 'Merge pull request #387 from bcoe/number-option-shorthand\n\nnumber shot-hand for options', 'rm unnecessary commandKeys check', 'testing out copy of yargs-parser that uses app-root-path', 'update changelog. fix merge conflict', 'Provide default value for version in .version()', 'starting to work on improvements to commands', 'Simplified help() code, tuned help() tests, added docs', 'test usage with both .demand() + .require()', 'add note about the global short-hand', 'completion is a command not an option, we should reset it', 'switch to new approach for loading top-level configuration', 'document our fancy new command API', 'update changelog', 'Pass the original error as the second argument of fail() handler.', 'add test for aliase + number usage\n\n(cherry picked from commit 0dc6a460f0ab85aab39c612fe9690ad8da364447)', 'fix weird typo in README.md', ""add validation tests for '.demand(1, ['a', 'b'])'"", ""Merge pull request #376 from maxrimue/change-help-behaviour\n\nMade help() only assign '--help' option if called without args"", 'upgrade standard, fix nit', 'add a standard badge, because standard rocks']","['committed (#392)', 'committed (#391)', 'committed (#386)', 'committed (#387)', 'committed (#385)', 'committed (#395)', 'committed (#393)']","[121092, 121240, 121299, 121335, 121467, 121475, 121504, 121512, 121520, 121528, 121536, 121544, 121552, 121560, 121568, 121576, 121584, 121592, 121600, 121608, 121616, 121624, 121632, 121640, 121648, 121656, 121664, 121672, 121680, 121688, 121696, 121704, 121712, 121720, 121728, 121736, 121744, 121752, 121760, 121768, 121776, 121784, 121792, 121800, 121808, 121816, 121824, 121832, 121840, 121848, 121856, 121864, 121872, 121880, 121888, 121896, 121904, 121912, 121920, 121928, 121936, 121944, 121952, 121961, 121969, 121977, 121985, 121993, 122001, 122009, 122017, 122025, 122033, 122041, 122049, 122057, 122106, 122114]","[121094, 121242, 121301, 121337, 121469, 121477, 121506, 121514, 121522, 121530, 121538, 121546, 121554, 121562, 121570, 121578, 121586, 121594, 121602, 121610, 121618, 121626, 121634, 121642, 121650, 121658, 121666, 121674, 121682, 121690, 121698, 121706, 121714, 121722, 121730, 121738, 121746, 121754, 121762, 121770, 121778, 121786, 121794, 121802, 121810, 121818, 121826, 121834, 121842, 121850, 121858, 121866, 121874, 121882, 121890, 121898, 121906, 121914, 121922, 121930, 121938, 121946, 121954, 121963, 121971, 121979, 121987, 121995, 122003, 122011, 122019, 122027, 122035, 122043, 122051, 122059, 122108, 122116]","do not reset wrap for commands
check for module command before adding to usage
update chanagelog
update tests to work with yargs-parser@2.1.0
implemented the concept of global options
update readme with examples
Merge pull request #385 from bcoe/update-changelog

update 4.x changelog
edits based on code review
get tests back up to 100%. add little known normalize() feature to docs
a command can now simply be a module
whoops, had a config stanza left in from testing
switch to using require-main-filename
you can now pass an object rather than a builder function, it uses a sane default for usage
fix a couple more typos in README
fix cherry-picked conflict in index.js
Merge pull request #382 from gajus/stack-trace-v4

Pass the original error as the second argument of fail() handler. (fixes #373)
you can now specify an option shorthand for numbers
split out parser into yargs-parser library, and make yargs configurable see #352
provide a bit more documentation about command modules
Merge pull request #368 from bcoe/command-improvements

working on a new API for commands that creates less redundant code
allow an alternative cwd to be specified
Merge pull request #384 from lrlna/add-number-type-opts

add number type opts
update 4.x changelog
yargs 4.0.0 \o/ see changelog and blog post
loop over argv._ for unknown arguments as per @maxrimue's code review
starting to build out command parser
we now support positional arguments \o/
add commandKeys validation to unknownArguments
check if 'max' arg in demand is an array
Fix .version() API inconsistency
Made help() only assign --help option if called without args
lookup package.version as default version # (see @maxrimue's work in #337)
add number to options to documentation

(cherry picked from commit 93e9d104e0982e5625062dad368a78fc4b261a92)
fix standard nit
update the 4.x changelog
we now load the yargs stanza only in yargs
starting to refactor commands to the new API
merge with 4.x
test usage with no cmds, and all required args as per @bcoe's review
skeleton test for valid command validation
fix closing brace, duhhhh
Merge pull request #377 from bcoe/update-changelog

keep 4.x changelog up-to-date, fixed merge conflict
introduces the pkgConf feature
preserve groups containing global keys when resetting
use implicit usage string when not set by command builder function
leave command handlers as an object
add tests around guessing version # based on parent package.json
remove yargs stanza from package.json
Merge pull request #357 from lrlna/require-valid-command

require valid command
Merge pull request #378 from bcoe/pkg-conf

introduces pkgConf feature
Merge pull request #387 from bcoe/number-option-shorthand

number shot-hand for options
rm unnecessary commandKeys check
testing out copy of yargs-parser that uses app-root-path
update changelog. fix merge conflict
Provide default value for version in .version()
starting to work on improvements to commands
Simplified help() code, tuned help() tests, added docs
test usage with both .demand() + .require()
add note about the global short-hand
completion is a command not an option, we should reset it
switch to new approach for loading top-level configuration
document our fancy new command API
update changelog
Pass the original error as the second argument of fail() handler.
add test for aliase + number usage

(cherry picked from commit 0dc6a460f0ab85aab39c612fe9690ad8da364447)
fix weird typo in README.md
add validation tests for '.demand(1, ['a', 'b'])'
Merge pull request #376 from maxrimue/change-help-behaviour

Made help() only assign '--help' option if called without args
upgrade standard, fix nit
add a standard badge, because standard rocks"
2016-08-08,24,4.0,11.0,7.0,-6.5,21.5,True,high,0.35714285714285715,27,26,"['docs: added gitter badge', 'feat: add coerce api', 'chore(package): update string-width to version 1.0.2\n\nhttps://greenkeeper.io/', 'feat: interpret demand() numbers as relative to executing command', 'chore(package): update yargs-parser to version 3.1.0\n\nhttps://greenkeeper.io/', 'feat: adds recommendCommands()', 'chore(package): update nyc to version 8.0.0\n\nhttps://greenkeeper.io/', 'perf: defer requiring most external libs until needed', ""update .recommendCommands() following @nexdrew's review"", 'fix silly mistake', 'chore(package): update nyc to version 8.1.0\n\nhttps://greenkeeper.io/', 'chore(package): update yargs-parser to version 3.2.0\n\nhttps://greenkeeper.io/', 'feat: apply fail() handlers globally', 'feat: provide suggestions if unknown command is called', ""fix: implement @nexdrew's suggestion; sort commands so that we recommend longest first"", 'fix tests for command recommendations', 'make german translation more personal', 'add didyoumean threshold', 'docs: add .coerce() method', 'support coercion of positional args in command', 'add y18n locale support for command recommendations', 'chore(package): update lodash.assign to version 4.2.0\n\nhttps://greenkeeper.io/', 'perf: do not require string-width more than once', 'add more tests for .recommendCommands()', 'feat: apply default builder to command()\n\nin order to apply reset, reparse, and validation to all commands', 'mention in readme no parameter is required for .recommendCommands()']","['committed (#593)', 'committed (#586)', 'committed (#592)', 'committed (#582)', 'committed (#581)', 'committed (#580)', 'committed (#589)', 'committed (#584)', 'committed (#591)', 'committed (#590)', 'committed (#588)', 'committed (#583)', 'committed (#587)']","[108937, 108963, 108989, 109018, 109044, 109067, 109096, 109125, 109133, 109150, 109221, 109229, 109255, 109263, 109301, 109394, 109426, 109434, 109442, 109450, 109458, 109466, 109474, 109482, 109490, 109498, 109532]","[108939, 108965, 108991, 109020, 109046, 109069, 109098, 109127, 109135, 109152, 109223, 109231, 109257, 109265, 109303, 109396, 109428, 109436, 109444, 109452, 109460, 109468, 109476, 109484, 109492, 109500, 109534]","docs: added gitter badge
feat: add coerce api
chore(package): update string-width to version 1.0.2

https://greenkeeper.io/
feat: interpret demand() numbers as relative to executing command
chore(package): update yargs-parser to version 3.1.0

https://greenkeeper.io/
feat: adds recommendCommands()
chore(package): update nyc to version 8.0.0

https://greenkeeper.io/
perf: defer requiring most external libs until needed
update .recommendCommands() following @nexdrew's review
fix silly mistake
chore(package): update nyc to version 8.1.0

https://greenkeeper.io/
chore(package): update yargs-parser to version 3.2.0

https://greenkeeper.io/
feat: apply fail() handlers globally
feat: provide suggestions if unknown command is called
fix: implement @nexdrew's suggestion; sort commands so that we recommend longest first
fix tests for command recommendations
make german translation more personal
add didyoumean threshold
docs: add .coerce() method
support coercion of positional args in command
add y18n locale support for command recommendations
chore(package): update lodash.assign to version 4.2.0

https://greenkeeper.io/
perf: do not require string-width more than once
add more tests for .recommendCommands()
feat: apply default builder to command()

in order to apply reset, reparse, and validation to all commands
mention in readme no parameter is required for .recommendCommands()"
